Uniprot_A,Uniprot_B,author_score
P0DP25,A0A087WXN0, 0.899116271005
Q68D86-1,Q9HD26-2, 0.83445807946
Q13515,Q9UJW9, 0.902943684288
P30049,Q05519-2, 0.889725775192
ENSP00000462298.1,P43220, 0.905551945553
P57771-2,Q8TAS1-2, 0.878334298096
Q12981-4,Q8TBP5, 0.678495496081
Q3LI64,P49639, 0.672912359726
Q9H2A7,Q6UY14-1,-
Q5SY16,Q09666-2,-
P07947,Q9UKT9-1, 0.902300149605
C9IZ47,Q8NF64-3,-
Q9H0Q3-1,Q14973, 0.715464450359
O95292-1,P11912-1, 0.656852754621
P25490,Q8IUG1, 0.90729955311
Q8TAB5,Q96F24-1,-
Q96B26,Q9BVJ7,-
Q9Y223-1,P60410, 0.920933490936
Q5VUM1,O43889-2,-
Q2WGJ6,Q9BYQ4, 0.905856577867
Q02930-4,Q5JR59-3,-
Q15041-1,P61165, 0.700224812615
P51687,Q8NBT2, 0.672682742597
P07910-2,Q12929-1,-
Q96HB5-1,ENSP00000493357.1,-
Q9NVH1-1,Q8IYS1, 0.864546189328
Q9NSK0-1,Q8N6Y0-1,-
B8A4K4,Q2WGJ6, 0.927470759369
P08631-2,Q93062-3, 0.874562148081
P54253-1,Q14012, 0.86353822105
P50221-1,Q9UKZ1, 0.876327182575
P61978-2,Q9NYB9-2, 0.929119759758
Q9Y3B2,P15884-3,-
Q96EF6,Q6UY14-1, 0.896817642977
Q8WVV5-1,Q9HC36, 0.697246639361
Q9C086,Q6NT76-1, 0.89561531242
A0A0S2Z436,Q9BQQ3-1,-
Q8IY31-1,Q9BQD3,-
O43741-1,O43597, 0.833326426713
O95295,Q5JTB6, 0.73373758407
Q6ZSJ9-1,Q8WUP2-1, 0.819428611374
O00463-1,P55735-1,-
P29033,Q3SXY8-1, 0.63823227563
Q8IVS8-1,ENSP00000476265.1, 0.9051015023
O94989,Q53EZ4-1,-
Q2TAL8,Q969G2, 0.841391635841
Q9NR12-1,Q9Y242, 0.757006061426
H7C112,Q5JST6-1, 0.85120194793
Q9H7T9-1,Q9UBU9-1, 0.667012334659
Q9UK80-1,Q7L273, 0.909340609526
Q8TAU3-1,P17568,-
P21964-2,Q15645-1,-
O95257,Q92600-3, 0.861725040241
A0A0C4DH14,P60411-1,-
P49447-1,Q04941-1,-
P58549,O43765,-
P04233-2,Q5BJF2, 0.824758854464
P62166-1,Q86UW9-1,-
O43186,Q96K80, 0.908720737877
Q8TBB1-1,Q70EL1-9, 0.867533910826
Q9Y2P0,Q59EK9-3, 0.901053279298
Q8TBB1-1,Q96HT8, 0.9038266473
Q9GZP9,P60410,-
F6XHT0,Q9Y282-1, 0.669161217731
P00492,P00492,-
Q7Z7H3,Q7Z7H3,-
Q9BVN2-2,I3L0H3, 0.788652124598
O14569,Q9BRI3-1, 0.803571863462
P29033,Q9BRI3-1, 0.803571863462
Q16617,Q96MV1,-
Q9NRD5-1,Q8IYA8-1, 0.900058981496
Q7L5A8-1,O75477,-
Q9P2A4-1,P13646-1,-
Q9NZC7-5,Q8NFV4-4, 0.830292487711
A0A075B739,Q12933-1, 0.876497763381
Q8WW01-1,Q96NC0, 0.912749535267
Q53HI1,Q8IUN9-1, 0.803980857646
O00560-1,P63172, 0.919677089143
Q8WWP7,Q9GZR5, 0.69918902273
O15155-1,Q86VR2-1, 0.693653784651
P33176,Q8N1B4-1,-
P04259,P13646-1,-
P26371,Q8N8B7-1,-
ENSP00000476265.1,Q8TC71-1,-
O75603,Q9UBR4-2, 0.88087891828
P09234,Q93062-3, 0.912136578531
Q2WGJ6,Q9H2G9-1,-
P24592,Q8TAU3-1, 0.889330743185
P14373-1,Q7Z3I7,-
P78317-1,Q9H7X3, 0.889501413745
P13236,Q9NUH8-1, 0.686351973672
B4DDN1,Q99081-3,-
P02792,P02794,-
Q8NHQ1-1,Q9H7H0-1,-
O95817,Q16082, 0.865573568781
Q00403,Q15025-1,-
Q9H2F3-1,B8A4K4, 0.92963465249
P49902-1,P49902-1,-
P14678-2,Q5SWW7, 0.808945983147
Q14781-2,P60411-1,-
Q9P0S9,Q4KMG9-1, 0.686793982278
