Uniprot_A	Uniprot_B
P61769	P01899
P36897	P62942
F1MRS1	A6H772
F1MRS1	A6H772
F1MRS1	A6H772
Q8TF05	intact:EBI-2638593
P41240	P08069
P41240	P06213
P35570	P08069
P35570	P06213
P41240	P08069
P41240	P08069
Q63767	P63104
Q92796	P62158
Q92796	P78352
P62157	Q92796
P62157	P62157
Q92796	P62157
Q92796	Q13224
P78352	Q92796
Q92796	P62157
P62157	Q92796
Q60974	P12755
P12755	Q60974
P12755	Q60974
Q60974	P12757
P12755	Q60974
P12755	Q60974
Q60974	P12757
Q96ST3	P12755
P12755	Q13547
P12755	O75376
P12755	Q96ST3
P03259	Q09472
P03259	Q92793
P03259	Q09472
O76036	P30273
O95944	O43914
P14653	P40424
P42566	Q15811
P42567	Q9Z0R4
Q9Z0R4	Q60902
P39054	Q9Z0R4
P39053	Q9Z0R4
Q9Z0R4	P39053
P42567	Q9Z0R4
P42566	Q15811
Q9WVE9	E9PSY8
F1PHV6	A0A8I3PJA6
Q62132	P27361
Q62132	P28482
Q62132	P27361
P22681	Q9Y2R2-1
Q99848	P03211
P12904	P06782
Q99848	P03211
O00571	P27958-PRO_0000037566
P27958-PRO_0000037566	O00571
P27958-PRO_0000037566	O00571
O00571	P27958-PRO_0000037566
O00571	P27958-PRO_0000037566
O00571	P27958-PRO_0000037566
P27958-PRO_0000037566	O00571
"chebi:""CHEBI:16284"""	O00571
"chebi:""CHEBI:15996"""	O00571
"chebi:""CHEBI:16311"""	O00571
"chebi:""CHEBI:15713"""	O00571
"chebi:""CHEBI:15422"""	O00571
"chebi:""CHEBI:15422"""	P27958-PRO_0000037566
"chebi:""CHEBI:15422"""	O00571
"chebi:""CHEBI:17625"""	O00571
"chebi:""CHEBI:16497"""	O00571
"chebi:""CHEBI:17677"""	O00571
"chebi:""CHEBI:16284"""	O00571
"chebi:""CHEBI:16284"""	P27958-PRO_0000037566
Q9Y6Q6	Q12933
Q9Y6Q6	O00463
Q9Y6Q6	Q9Y4K3
O95487	Q15436
P53992	Q15436
Q15436	P53992
P63272	O00267
O00267	P63272
P63272	O00267
O00267	P24928
O00267	P24928
P43694	P52952
P52952	P43694
Q60749	P39688
Q60749	P10686
P10686	Q9WU01
P39688	Q9WU01
Q60749	P39688
Q60749	P10686
Q60749	P20936
Q60631	Q60749
P39688	Q9WU01
Q9WU01	P10686
P20936	Q9WU01
Q60631	Q9WU01
Q60749	Q60749
Q60749	Q9WU01
Q9R226	Q60749
Q12824	Q8TAQ2
Q12824	Q92922
P51532	Q8TAQ2
P51532	Q12824
P51532	Q92922
P62826	P49792
P03255	Q01860-1
Q01860-1	P03129
Q01860-1	P03255
P03129	Q01860-1
P31751	Q9GJP9
Q16760	Q9GJP9
Q99523	P06858
"chebi:""CHEBI:7542"""	Q99523
Q99523	P11151
Q99523	P11151
P11151	Q99523
P11151	P30533
"chebi:""CHEBI:28304"""	P11151
"chebi:""CHEBI:28304"""	Q99523
P11151	Q99523
P11151	Q99523
Q99523	P11151
P30533	P11151
P30533	Q99523
P11151	Q99523
P11151	Q99523
