	Entry	Gene Names	Involvement in disease	Organism
0	Q9UQN3	CHMP2B CGI-84	DISEASE: Frontotemporal dementia and/or amyotrophic lateral sclerosis 7 (FTDALS7) [MIM:600795]: A neurodegenerative disorder characterized by frontotemporal dementia and/or amyotrophic lateral sclerosis in affected individuals. There is high intrafamilial variation. Frontotemporal dementia (FTD) is characterized by frontal and temporal lobe atrophy associated with neuronal loss, gliosis, and dementia. Patients exhibit progressive changes in social, behavioral, and/or language function. Amyotrophic lateral sclerosis (ALS) is characterized by the death of motor neurons in the brain, brainstem, and spinal cord, resulting in fatal paralysis. FTDALS7 is an autosomal dominant form characterized by onset of ALS or FTD in adulthood. A few patients may have both phenotypes. {ECO:0000269|PubMed:16041373, ECO:0000269|PubMed:16807408, ECO:0000269|PubMed:20352044}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
1	Q96QT4	TRPM7 CHAK1 LTRPC7	DISEASE: Amyotrophic lateral sclerosis-parkinsonism/dementia complex 1 (ALS-PDC1) [MIM:105500]: A neurodegenerative disorder characterized by chronic, progressive and uniformly fatal amyotrophic lateral sclerosis and parkinsonism-dementia. Both diseases are known to occur in the same kindred, the same sibship and even the same individual. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.; DISEASE: Note=TRPM7 variants have been identified as a potential cause of disease in patients suffering from seizures and muscle cramps due to magnesium deficiency and episodes of hypocalcemia. {ECO:0000269|PubMed:35561741}.	Homo sapiens (Human)
2	Q96Q42	ALS2 ALS2CR6 KIAA1563	DISEASE: Amyotrophic lateral sclerosis 2 (ALS2) [MIM:205100]: A neurodegenerative disorder affecting upper motor neurons in the brain and lower motor neurons in the brain stem and spinal cord, resulting in fatal paralysis. Sensory abnormalities are absent. The pathologic hallmarks of the disease include pallor of the corticospinal tract due to loss of motor neurons, presence of ubiquitin-positive inclusions within surviving motor neurons, and deposition of pathologic aggregates. The etiology of amyotrophic lateral sclerosis is likely to be multifactorial, involving both genetic and environmental factors. The disease is inherited in 5-10% of the cases. {ECO:0000269|PubMed:11586298}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Juvenile primary lateral sclerosis (JPLS) [MIM:606353]: A neurodegenerative disorder which is closely related to but clinically distinct from amyotrophic lateral sclerosis. It is a progressive paralytic disorder which results from dysfunction of the upper motor neurons while the lower neurons are unaffected. {ECO:0000269|PubMed:11586297}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Infantile-onset ascending spastic paralysis (IAHSP) [MIM:607225]: Characterized by progressive spasticity and weakness of limbs. {ECO:0000269|PubMed:12145748}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
3	Q99497	PARK7	DISEASE: Parkinson disease 7 (PARK7) [MIM:606324]: A neurodegenerative disorder characterized by resting tremor, postural tremor, bradykinesia, muscular rigidity, anxiety and psychotic episodes. PARK7 has onset before 40 years, slow progression and initial good response to levodopa. Some patients may show traits reminiscent of amyotrophic lateral sclerosis-parkinsonism/dementia complex (Guam disease). {ECO:0000269|PubMed:12446870, ECO:0000269|PubMed:12851414, ECO:0000269|PubMed:12953260, ECO:0000269|PubMed:14607841, ECO:0000269|PubMed:14713311, ECO:0000269|PubMed:15254937, ECO:0000269|PubMed:15365989, ECO:0000269|PubMed:16240358, ECO:0000269|PubMed:17846173, ECO:0000269|PubMed:18785233, ECO:0000269|PubMed:19229105, ECO:0000269|PubMed:22523093, ECO:0000269|PubMed:23792957, ECO:0000269|PubMed:23847046, ECO:0000269|PubMed:26972524, ECO:0000269|PubMed:28993701, ECO:0000269|PubMed:30928208}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
4	P41002	CCNF FBX1 FBXO1	DISEASE: Frontotemporal dementia and/or amyotrophic lateral sclerosis 5 (FTDALS5) [MIM:619141]: A neurodegenerative disorder characterized by frontotemporal dementia and/or amyotrophic lateral sclerosis in affected individuals. There is high intrafamilial variation. Frontotemporal dementia is characterized by frontal and temporal lobe atrophy associated with neuronal loss, gliosis, and dementia. Patients exhibit progressive changes in social, behavioral, and/or language function. Amyotrophic lateral sclerosis is characterized by the death of motor neurons in the brain, brainstem, and spinal cord, resulting in fatal paralysis. FTDALS5 is an autosomal dominant form with age-dependent penetrance. Penetrance is estimated to be 50% by age 56 and 100% by age 61. {ECO:0000269|PubMed:27080313, ECO:0000269|PubMed:28852778}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
5	Q7Z333	SETX ALS4 KIAA0625 SCAR1	DISEASE: Spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 2 (SCAN2) [MIM:606002]: A form of spinocerebellar ataxia, a clinically and genetically heterogeneous group of cerebellar disorders. Patients show progressive incoordination of gait and often poor coordination of hands, speech and eye movements, due to degeneration of the cerebellum with variable involvement of the brainstem and spinal cord. SCAN2 is an autosomal recessive form associated with peripheral neuropathy and elevated serum alpha-fetoprotein, immunoglobulins and, less commonly, creatine kinase levels. Some SCAN2 patients manifest oculomotor apraxia. {ECO:0000269|PubMed:14770181, ECO:0000269|PubMed:16644229, ECO:0000269|PubMed:16717225, ECO:0000269|PubMed:17096168, ECO:0000269|PubMed:23566282, ECO:0000269|PubMed:23786967, ECO:0000269|PubMed:23941260, ECO:0000269|PubMed:24105744, ECO:0000269|PubMed:36864660}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Amyotrophic lateral sclerosis 4 (ALS4) [MIM:602433]: A form of amyotrophic lateral sclerosis with childhood- or adolescent-onset, and characterized by slow disease progression and the sparing of bulbar and respiratory muscles. Amyotrophic lateral sclerosis is a neurodegenerative disorder affecting upper motor neurons in the brain and lower motor neurons in the brain stem and spinal cord, resulting in fatal paralysis. Sensory abnormalities are absent. The pathologic hallmarks of the disease include pallor of the corticospinal tract due to loss of motor neurons, presence of ubiquitin-positive inclusions within surviving motor neurons, and deposition of pathologic aggregates. The etiology of amyotrophic lateral sclerosis is likely to be multifactorial, involving both genetic and environmental factors. The disease is inherited in 5-10% of the cases. {ECO:0000269|PubMed:14770181, ECO:0000269|PubMed:15106121, ECO:0000269|PubMed:21190393, ECO:0000269|PubMed:24105744, ECO:0000269|PubMed:24244371, ECO:0000269|PubMed:36864660}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
6	Q15303	ERBB4 HER4	DISEASE: Amyotrophic lateral sclerosis 19 (ALS19) [MIM:615515]: A neurodegenerative disorder affecting upper motor neurons in the brain and lower motor neurons in the brain stem and spinal cord, resulting in fatal paralysis. Sensory abnormalities are absent. The pathologic hallmarks of the disease include pallor of the corticospinal tract due to loss of motor neurons, presence of ubiquitin-positive inclusions within surviving motor neurons, and deposition of pathologic aggregates. The etiology of amyotrophic lateral sclerosis is likely to be multifactorial, involving both genetic and environmental factors. The disease is inherited in 5-10% of the cases. {ECO:0000269|PubMed:24119685}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
7	P00441	SOD1	DISEASE: Amyotrophic lateral sclerosis 1 (ALS1) [MIM:105400]: A neurodegenerative disorder affecting upper motor neurons in the brain and lower motor neurons in the brain stem and spinal cord, resulting in fatal paralysis. Sensory abnormalities are absent. The pathologic hallmarks of the disease include pallor of the corticospinal tract due to loss of motor neurons, presence of ubiquitin-positive inclusions within surviving motor neurons, and deposition of pathologic aggregates. The etiology of amyotrophic lateral sclerosis is likely to be multifactorial, involving both genetic and environmental factors. The disease is inherited in 5-10% of the cases. {ECO:0000269|PubMed:10400992, ECO:0000269|PubMed:10430435, ECO:0000269|PubMed:10732812, ECO:0000269|PubMed:11369193, ECO:0000269|PubMed:11535232, ECO:0000269|PubMed:12145308, ECO:0000269|PubMed:12210393, ECO:0000269|PubMed:12402272, ECO:0000269|PubMed:12754496, ECO:0000269|PubMed:12963370, ECO:0000269|PubMed:14506936, ECO:0000269|PubMed:15056757, ECO:0000269|PubMed:18301754, ECO:0000269|PubMed:18378676, ECO:0000269|PubMed:18552350, ECO:0000269|PubMed:19741096, ECO:0000269|PubMed:20460594, ECO:0000269|PubMed:21220647, ECO:0000269|PubMed:21247266, ECO:0000269|PubMed:24283821, ECO:0000269|PubMed:27604643, ECO:0000269|PubMed:31086828, ECO:0000269|PubMed:7496169, ECO:0000269|PubMed:7501156, ECO:0000269|PubMed:7647793, ECO:0000269|PubMed:7655468, ECO:0000269|PubMed:7655469, ECO:0000269|PubMed:7655471, ECO:0000269|PubMed:7700376, ECO:0000269|PubMed:7795609, ECO:0000269|PubMed:7836951, ECO:0000269|PubMed:7870076, ECO:0000269|PubMed:7881433, ECO:0000269|PubMed:7887412, ECO:0000269|PubMed:7951252, ECO:0000269|PubMed:7980516, ECO:0000269|PubMed:7997024, ECO:0000269|PubMed:8069312, ECO:0000269|PubMed:8179602, ECO:0000269|PubMed:8351519, ECO:0000269|PubMed:8446170, ECO:0000269|PubMed:8528216, ECO:0000269|PubMed:8682505, ECO:0000269|PubMed:8875253, ECO:0000269|PubMed:8907321, ECO:0000269|PubMed:8938700, ECO:0000269|PubMed:8990014, ECO:0000269|PubMed:9101297, ECO:0000269|PubMed:9131652, ECO:0000269|PubMed:9365366, ECO:0000269|PubMed:9455977, ECO:0000269|PubMed:9541385, ECO:0000269|PubMed:9696308, ECO:0000269|PubMed:9706719, ECO:0000269|Ref.86}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Spastic tetraplegia and axial hypotonia, progressive (STAHP) [MIM:618598]: An autosomal recessive, neurologic disorder characterized by loss of motor abilities in the first year of life, after which severe, progressive spastic tetraparesis develops. Affected individuals have severe axial hypotonia, hyperekplexia, hypertonia, and myokymia, reflecting upper motor neuron involvement. Cognitive development may be affected. {ECO:0000269|PubMed:31314961, ECO:0000269|PubMed:31332433}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
8	Q9H9T3	ELP3	DISEASE: Amyotrophic lateral sclerosis (ALS) [MIM:105400]: A neurodegenerative disorder affecting upper motor neurons in the brain and lower motor neurons in the brain stem and spinal cord, resulting in fatal paralysis. Sensory abnormalities are absent. The pathologic hallmarks of the disease include pallor of the corticospinal tract due to loss of motor neurons, presence of ubiquitin-positive inclusions within surviving motor neurons, and deposition of pathologic aggregates. The etiology of amyotrophic lateral sclerosis is likely to be multifactorial, involving both genetic and environmental factors. The disease is inherited in 5-10% of the cases. {ECO:0000269|PubMed:18996918, ECO:0000305|PubMed:29415125}. Note=The gene represented in this entry may act as a disease modifier.	Homo sapiens (Human)
9	P07737	PFN1	DISEASE: Amyotrophic lateral sclerosis 18 (ALS18) [MIM:614808]: A neurodegenerative disorder affecting upper motor neurons in the brain and lower motor neurons in the brain stem and spinal cord, resulting in fatal paralysis. Sensory abnormalities are absent. The pathologic hallmarks of the disease include pallor of the corticospinal tract due to loss of motor neurons, presence of ubiquitin-positive inclusions within surviving motor neurons, and deposition of pathologic aggregates. The etiology of amyotrophic lateral sclerosis is likely to be multifactorial, involving both genetic and environmental factors. The disease is inherited in 5-10% of the cases. {ECO:0000269|PubMed:22801503}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
