	Entry	Gene Names	Involvement in disease	Organism
0	Q9Y463	DYRK1B MIRK	DISEASE: Abdominal obesity-metabolic syndrome 3 (AOMS3) [MIM:615812]: A form of abdominal obesity-metabolic syndrome, a disorder characterized by abdominal obesity, high triglycerides, low levels of high density lipoprotein cholesterol, high blood pressure, and elevated fasting glucose levels. AOMS3 is characterized by early-onset coronary artery disease, central obesity, hypertension, and diabetes. {ECO:0000269|PubMed:24827035}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
1	P41159	LEP OB OBS	DISEASE: Leptin deficiency (LEPD) [MIM:614962]: A rare disease characterized by low levels of serum leptin, severe hyperphagia and intractable obesity from an early age. {ECO:0000269|PubMed:25551525, ECO:0000269|PubMed:9500540}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
2	P08217	CELA2A ELA2A	DISEASE: Abdominal obesity-metabolic syndrome 4 (AOMS4) [MIM:618620]: A form of abdominal obesity-metabolic syndrome, a disorder characterized by abdominal obesity, high triglycerides, low levels of high density lipoprotein cholesterol, high blood pressure, and elevated fasting glucose levels. AOMS4 is an autosomal dominant disease. Patients manifest obesity, hypertension, early-onset coronary artery disease and type 2 diabetes. {ECO:0000269|PubMed:31358993}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
3	P01189	POMC	DISEASE: Obesity (OBESITY) [MIM:601665]: A condition characterized by an increase of body weight beyond the limitation of skeletal and physical requirements, as the result of excessive accumulation of body fat. {ECO:0000269|PubMed:12165561}. Note=Disease susceptibility may be associated with variants affecting the gene represented in this entry.; DISEASE: Obesity, early-onset, with adrenal insufficiency and red hair (OBAIRH) [MIM:609734]: An autosomal recessive disorder characterized by early-onset obesity due to severe hyperphagia, pigmentary abnormalities, mainly pale skin and red hair, and secondary hypocortisolism. {ECO:0000269|PubMed:9620771}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
4	O00253	AGRP AGRT ART	DISEASE: Obesity (OBESITY) [MIM:601665]: A condition characterized by an increase of body weight beyond the limitation of skeletal and physical requirements, as the result of excessive accumulation of body fat. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.	Homo sapiens (Human)
5	P48357	LEPR DB OBR	DISEASE: Leptin receptor deficiency (LEPRD) [MIM:614963]: A rare disease characterized by normal levels of serum leptin, hyperphagia and severe obesity from an early age. Additional features include alterations in immune function, and delayed puberty due to hypogonadotropic hypogonadism. {ECO:0000269|PubMed:25751111, ECO:0000269|PubMed:9537324}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
6	Q96G30	MRAP2 C6orf117	DISEASE: Obesity (OBESITY) [MIM:601665]: A condition characterized by an increase of body weight beyond the limitation of skeletal and physical requirements, as the result of excessive accumulation of body fat. {ECO:0000269|PubMed:23869016}. Note=Disease susceptibility may be associated with variants affecting the gene represented in this entry.	Homo sapiens (Human)
7	Q8WWQ0	PHIP DCAF14 WDR11	DISEASE: Chung-Jansen syndrome (CHUJANS) [MIM:617991]: An autosomal dominant disorder characterized by developmental delay, intellectual disability, autistic features, anxiety, hypotonia, obesity, and dysmorphic features. {ECO:0000269|PubMed:23033978, ECO:0000269|PubMed:27900362, ECO:0000269|PubMed:29209020}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
8	P32245	MC4R	DISEASE: Obesity (OBESITY) [MIM:601665]: A condition characterized by an increase of body weight beyond the limitation of skeletal and physical requirements, as the result of excessive accumulation of body fat. {ECO:0000269|PubMed:10199800, ECO:0000269|PubMed:11443223, ECO:0000269|PubMed:11487744, ECO:0000269|PubMed:12588803, ECO:0000269|PubMed:12646665, ECO:0000269|PubMed:12970296, ECO:0000269|PubMed:14671178, ECO:0000269|PubMed:14764818, ECO:0000269|PubMed:15486053, ECO:0000269|PubMed:25163632, ECO:0000269|PubMed:29311635, ECO:0000269|PubMed:41102563}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry. Obesity due to MC4R deficiency is associated with reduced total cholesterol, low-density lipoprotein-cholesterol, triglycerides and hypertension, and relative protection from cardiovascular disease. {ECO:0000269|PubMed:41102563}.	Homo sapiens (Human)
9	P50607	TUB	DISEASE: Retinal dystrophy and obesity (RDOB) [MIM:616188]: A disease characterized by obesity, night blindness, decreased visual acuity, and electrophysiological features of a rod cone dystrophy. {ECO:0000269|PubMed:24375934}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
10	Q15466	NR0B2 SHP	DISEASE: Obesity (OBESITY) [MIM:601665]: A condition characterized by an increase of body weight beyond the limitation of skeletal and physical requirements, as the result of excessive accumulation of body fat. {ECO:0000269|PubMed:11136233}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.	Homo sapiens (Human)
11	O60266	ADCY3 KIAA0511	DISEASE: Obesity (OBESITY) [MIM:601665]: A condition characterized by an increase of body weight beyond the limitation of skeletal and physical requirements, as the result of excessive accumulation of body fat. {ECO:0000269|PubMed:29311636, ECO:0000269|PubMed:29311637, ECO:0000269|PubMed:37855273, ECO:0000269|PubMed:39519366}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.	Homo sapiens (Human)
