	Entry	Gene Names	Involvement in disease	Organism
0	Q02078	MEF2A MEF2	DISEASE: Coronary artery disease, autosomal dominant, 1 (ADCAD1) [MIM:608320]: A common heart disease characterized by reduced or absent blood flow in one or more of the arteries that encircle and supply the heart. Its most important complication is acute myocardial infarction. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
1	Q9Y463	DYRK1B MIRK	DISEASE: Abdominal obesity-metabolic syndrome 3 (AOMS3) [MIM:615812]: A form of abdominal obesity-metabolic syndrome, a disorder characterized by abdominal obesity, high triglycerides, low levels of high density lipoprotein cholesterol, high blood pressure, and elevated fasting glucose levels. AOMS3 is characterized by early-onset coronary artery disease, central obesity, hypertension, and diabetes. {ECO:0000269|PubMed:24827035}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
2	P16050	ALOX15 LOG15	DISEASE: Note=Disease susceptibility may be associated with variants affecting the gene represented in this entry. Met at position 560 may confer interindividual susceptibility to coronary artery disease (CAD) (PubMed:17959182). {ECO:0000269|PubMed:17959182}.	Homo sapiens (Human)
3	P02652	APOA2	DISEASE: Apolipoprotein A-II deficiency (APOA2D) [MIM:621417]: An autosomal recessive condition characterized by lack of immunologically detectable apo A-II in the plasma, without significant influence either on lipid and lipoprotein profiles or on the occurrence of coronary artery disease. {ECO:0000269|PubMed:2107739}. Note=The disease may be caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
4	Q15848	ADIPOQ ACDC ACRP30 APM1 GBP28	DISEASE: Adiponectin deficiency (ADPOD) [MIM:612556]: An autosomal dominant condition characterized by very low concentrations of plasma adiponectin. Levels of adiponectin are decreased in obesity and may contribute to a chronic state of inflammation that leads to insulin resistance, type 2 diabetes, coronary artery disease, myocardial infarction, non-alcoholic steatohepatitis, and kidney disease. {ECO:0000269|PubMed:10918532, ECO:0000269|PubMed:11812766, ECO:0000269|PubMed:12086969}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
5	P08217	CELA2A ELA2A	DISEASE: Abdominal obesity-metabolic syndrome 4 (AOMS4) [MIM:618620]: A form of abdominal obesity-metabolic syndrome, a disorder characterized by abdominal obesity, high triglycerides, low levels of high density lipoprotein cholesterol, high blood pressure, and elevated fasting glucose levels. AOMS4 is an autosomal dominant disease. Patients manifest obesity, hypertension, early-onset coronary artery disease and type 2 diabetes. {ECO:0000269|PubMed:31358993}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
6	Q96LK0	CEP19 C3orf34 HSD5	DISEASE: Morbid obesity and spermatogenic failure (MOSPGF) [MIM:615703]: An autosomal recessive morbid obesity syndrome characterized by hypertension, fatty liver disease, insulin resistance, and decreased sperm counts. Variable clinical manifestations are early coronary artery disease with myocardial infarction before 45 years of age, type II diabetes mellitus, and intellectual disability. Morbid obese individuals are defined as having a BMI greater than 40. {ECO:0000269|PubMed:24268657}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
7	Q9H222	ABCG5	DISEASE: Sitosterolemia 2 (STSL2) [MIM:618666]: A form of sitosterolemia, an autosomal recessive metabolic disorder characterized by unregulated intestinal absorption of cholesterol, phytosterols and shellfish sterols, and decreased biliary excretion of dietary sterols into bile. Patients have hypercholesterolemia, very high levels of plant sterols in the plasma, and frequently develop tendon and tuberous xanthomas, accelerated atherosclerosis and premature coronary artery disease. {ECO:0000269|PubMed:11138003, ECO:0000269|PubMed:11452359, ECO:0000269|PubMed:11668628, ECO:0000269|PubMed:15054092, ECO:0000269|PubMed:35557526}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
8	O95477	ABCA1 ABC1 CERP	DISEASE: Tangier disease (TGD) [MIM:205400]: An autosomal recessive disorder characterized by near absence of plasma high density lipoproteins, low serum HDL cholesterol, and massive tissue deposition of cholesterol esters. Clinical features include large yellow-orange tonsils, hepatomegaly, splenomegaly, enlarged lymph nodes, and often sensory polyneuropathy. {ECO:0000269|PubMed:10431236, ECO:0000269|PubMed:10431237, ECO:0000269|PubMed:10706591, ECO:0000269|PubMed:10938021, ECO:0000269|PubMed:11086027, ECO:0000269|PubMed:11257260, ECO:0000269|PubMed:11476961, ECO:0000269|PubMed:11476965, ECO:0000269|PubMed:11785958, ECO:0000269|PubMed:12111371, ECO:0000269|PubMed:12111381, ECO:0000269|PubMed:12407001, ECO:0000269|PubMed:14576201, ECO:0000269|PubMed:14754908, ECO:0000269|PubMed:15019541, ECO:0000269|PubMed:15158913, ECO:0000269|PubMed:15262183, ECO:0000269|PubMed:15297675, ECO:0000269|PubMed:15520867, ECO:0000269|PubMed:18776170, ECO:0000269|PubMed:24097981}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Hypoalphalipoproteinemia, primary, 1 (FHA1) [MIM:604091]: An autosomal dominant disorder characterized by decreased plasma high density lipoproteins, moderately low HDL cholesterol, a reduction in cellular cholesterol efflux, and susceptibility to premature coronary artery disease. {ECO:0000269|PubMed:10431236, ECO:0000269|PubMed:10533863, ECO:0000269|PubMed:11086027, ECO:0000269|PubMed:11785958, ECO:0000269|PubMed:12009425, ECO:0000269|PubMed:12204794, ECO:0000269|PubMed:15722566, ECO:0000269|PubMed:19556522, ECO:0000269|PubMed:24097981}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
9	Q9H221	ABCG8	DISEASE: Gallbladder disease 4 (GBD4) [MIM:611465]: One of the major digestive diseases. Gallstones composed of cholesterol (cholelithiasis) are the common manifestations in western countries. Most people with gallstones, however, remain asymptomatic through their lifetimes. {ECO:0000269|PubMed:17632509}. Note=Disease susceptibility may be associated with variants affecting the gene represented in this entry.; DISEASE: Sitosterolemia 1 (STSL1) [MIM:210250]: A form of sitosterolemia, an autosomal recessive metabolic disorder characterized by unregulated intestinal absorption of cholesterol, phytosterols and shellfish sterols, and decreased biliary excretion of dietary sterols into bile. Patients have hypercholesterolemia, very high levels of plant sterols in the plasma, and frequently develop tendon and tuberous xanthomas, accelerated atherosclerosis and premature coronary artery disease. {ECO:0000269|PubMed:11099417, ECO:0000269|PubMed:11452359, ECO:0000269|PubMed:15054092}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
