	Entry	Gene Names	Involvement in disease	Organism
0	O60343	TBC1D4 AS160 KIAA0603	DISEASE: Type 2 diabetes mellitus 5 (T2D5) [MIM:616087]: A multifactorial disorder of glucose homeostasis caused by a lack of sensitivity to insulin. Affected individuals usually have an obese body habitus and manifestations of a metabolic syndrome characterized by diabetes, insulin resistance, hypertension and hypertriglyceridemia. The disease results in long-term complications that affect the eyes, kidneys, nerves, and blood vessels. {ECO:0000269|PubMed:25043022}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.	Homo sapiens (Human)
1	Q9HC96	CAPN10 KIAA1845	DISEASE: Type 2 diabetes mellitus 1 (T2D1) [MIM:601283]: A multifactorial disorder of glucose homeostasis caused by a lack of sensitivity to insulin. Affected individuals usually have an obese body habitus and manifestations of a metabolic syndrome characterized by diabetes, insulin resistance, hypertension and hypertriglyceridemia. The disease results in long-term complications that affect the eyes, kidneys, nerves, and blood vessels. {ECO:0000269|PubMed:11017071, ECO:0000269|PubMed:16721485}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.	Homo sapiens (Human)
2	Q16821	PPP1R3A PP1G	DISEASE: Type 2 diabetes mellitus (T2D) [MIM:125853]: A multifactorial disorder of glucose homeostasis caused by a lack of sensitivity to insulin. Affected individuals usually have an obese body habitus and manifestations of a metabolic syndrome characterized by diabetes, insulin resistance, hypertension and hypertriglyceridemia. The disease results in long-term complications that affect the eyes, kidneys, nerves, and blood vessels. {ECO:0000269|PubMed:7926294}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.	Homo sapiens (Human)
3	Q9UQF2	MAPK8IP1 IB1 JIP1 PRKM8IP	DISEASE: Type 2 diabetes mellitus (T2D) [MIM:125853]: A multifactorial disorder of glucose homeostasis caused by a lack of sensitivity to insulin. Affected individuals usually have an obese body habitus and manifestations of a metabolic syndrome characterized by diabetes, insulin resistance, hypertension and hypertriglyceridemia. The disease results in long-term complications that affect the eyes, kidneys, nerves, and blood vessels. {ECO:0000269|PubMed:10700186}. Note=Disease susceptibility may be associated with variants affecting the gene represented in this entry.	Homo sapiens (Human)
4	P35568	IRS1	DISEASE: Type 2 diabetes mellitus (T2D) [MIM:125853]: A multifactorial disorder of glucose homeostasis caused by a lack of sensitivity to insulin. Affected individuals usually have an obese body habitus and manifestations of a metabolic syndrome characterized by diabetes, insulin resistance, hypertension and hypertriglyceridemia. The disease results in long-term complications that affect the eyes, kidneys, nerves, and blood vessels. {ECO:0000269|PubMed:10206679, ECO:0000269|PubMed:12843189, ECO:0000269|PubMed:8723689}. Note=The gene represented in this entry may be involved in disease pathogenesis.	Homo sapiens (Human)
5	Q86YR7	MCF2L2 ARHGEF22 DRG KIAA0861	DISEASE: Type 2 diabetes mellitus (T2D) [MIM:125853]: A multifactorial disorder of glucose homeostasis caused by a lack of sensitivity to insulin. Affected individuals usually have an obese body habitus and manifestations of a metabolic syndrome characterized by diabetes, insulin resistance, hypertension and hypertriglyceridemia. The disease results in long-term complications that affect the eyes, kidneys, nerves, and blood vessels. {ECO:0000269|PubMed:18259684}. Note=Disease susceptibility may be associated with variants affecting the gene represented in this entry.	Homo sapiens (Human)
6	P14672	SLC2A4 GLUT4	DISEASE: Type 2 diabetes mellitus (T2D) [MIM:125853]: A multifactorial disorder of glucose homeostasis caused by a lack of sensitivity to insulin. Affected individuals usually have an obese body habitus and manifestations of a metabolic syndrome characterized by diabetes, insulin resistance, hypertension and hypertriglyceridemia. The disease results in long-term complications that affect the eyes, kidneys, nerves, and blood vessels. {ECO:0000269|PubMed:1521731, ECO:0000269|PubMed:1756912, ECO:0000269|PubMed:1918382}. Note=The disease may be caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
7	Q5VV42	CDKAL1	DISEASE: Type 2 diabetes mellitus (T2D) [MIM:125853]: A multifactorial disorder of glucose homeostasis caused by a lack of sensitivity to insulin. Affected individuals usually have an obese body habitus and manifestations of a metabolic syndrome characterized by diabetes, insulin resistance, hypertension and hypertriglyceridemia. The disease results in long-term complications that affect the eyes, kidneys, nerves, and blood vessels. {ECO:0000269|PubMed:17460697, ECO:0000269|PubMed:17463246}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.	Homo sapiens (Human)
8	Q7RTY0	SLC16A13 MCT13	DISEASE: Type 2 diabetes mellitus (T2D) [MIM:125853]: A multifactorial disorder of glucose homeostasis caused by a lack of sensitivity to insulin. Affected individuals usually have an obese body habitus and manifestations of a metabolic syndrome characterized by diabetes, insulin resistance, hypertension and hypertriglyceridemia. The disease results in long-term complications that affect the eyes, kidneys, nerves, and blood vessels. {ECO:0000269|PubMed:24390345}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.	Homo sapiens (Human)
9	Q9NQB0	TCF7L2 TCF4	DISEASE: Note=Constitutive activation and subsequent transactivation of target genes may lead to the maintenance of stem-cell characteristics (cycling and longevity) in cells that should normally undergo terminal differentiation and constitute the primary transforming event in colorectal cancer (CRC).; DISEASE: Type 2 diabetes mellitus (T2D) [MIM:125853]: A multifactorial disorder of glucose homeostasis caused by a lack of sensitivity to insulin. Affected individuals usually have an obese body habitus and manifestations of a metabolic syndrome characterized by diabetes, insulin resistance, hypertension and hypertriglyceridemia. The disease results in long-term complications that affect the eyes, kidneys, nerves, and blood vessels. {ECO:0000269|PubMed:16415884, ECO:0000269|PubMed:24390345}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.	Homo sapiens (Human)
10	Q13562	NEUROD1 BHLHA3 NEUROD	DISEASE: Maturity-onset diabetes of the young 6 (MODY6) [MIM:606394]: A form of diabetes that is characterized by an autosomal dominant mode of inheritance, onset in childhood or early adulthood (usually before 25 years of age), a primary defect in insulin secretion and frequent insulin-independence at the beginning of the disease. {ECO:0000269|PubMed:10545951, ECO:0000269|PubMed:11719843, ECO:0000269|PubMed:26773576}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Type 2 diabetes mellitus (T2D) [MIM:125853]: A multifactorial disorder of glucose homeostasis caused by a lack of sensitivity to insulin. Affected individuals usually have an obese body habitus and manifestations of a metabolic syndrome characterized by diabetes, insulin resistance, hypertension and hypertriglyceridemia. The disease results in long-term complications that affect the eyes, kidneys, nerves, and blood vessels. {ECO:0000269|PubMed:10545951}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.	Homo sapiens (Human)
11	Q8NCK7	SLC16A11 MCT11	DISEASE: Type 2 diabetes mellitus (T2D) [MIM:125853]: A multifactorial disorder of glucose homeostasis caused by a lack of sensitivity to insulin. Affected individuals usually have an obese body habitus and manifestations of a metabolic syndrome characterized by diabetes, insulin resistance, hypertension and hypertriglyceridemia. The disease results in long-term complications that affect the eyes, kidneys, nerves, and blood vessels. {ECO:0000269|PubMed:24390345}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry. A risk haplotype spanning SLC16A11 is associated with a 20% increased risk for T2D. The haplotype includes 5 SLC16A11 variants in strong linkage disequilibrium: variants Ile-89, Gly-103, Ser-316, Thr-419 and a silent variant. This risk haplotype probably derives from H.sapiens neanderthalensis (Neanderthal) introgression and is present at 50% frequency in Native-American samples, 10% in east Asian, while it is rare in European and African samples populations. The risk haplotype contains a cis-eQTL that is responsible for reduced SLC16A11 expression in liver (PubMed:28666119). {ECO:0000269|PubMed:24390345, ECO:0000269|PubMed:28666119}.	Homo sapiens (Human)
12	P31751	AKT2	DISEASE: Note=Defects in AKT2 are a cause of susceptibility to breast cancer (BC). AKT2 promotes metastasis of tumor cells without affecting the latency of tumor development. May play a role in glioblastoma cell survival (PubMed:20167810). {ECO:0000269|PubMed:20167810}.; DISEASE: Type 2 diabetes mellitus (T2D) [MIM:125853]: A multifactorial disorder of glucose homeostasis caused by a lack of sensitivity to insulin. Affected individuals usually have an obese body habitus and manifestations of a metabolic syndrome characterized by diabetes, insulin resistance, hypertension and hypertriglyceridemia. The disease results in long-term complications that affect the eyes, kidneys, nerves, and blood vessels. {ECO:0000269|PubMed:15166380, ECO:0000269|PubMed:19164855}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.; DISEASE: Hypoinsulinemic hypoglycemia with hemihypertrophy (HIHGHH) [MIM:240900]: A disorder characterized by hypoglycemia, low insulin levels, low serum levels of ketone bodies and branched-chain amino acids, left-sided hemihypertrophy, neonatal macrosomia, reduced consciousness and hypoglycemic seizures. {ECO:0000269|PubMed:21979934}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
13	P52945	PDX1 IPF1 STF1	DISEASE: Pancreatic agenesis 1 (PAGEN1) [MIM:260370]: A disease characterized by isolated hypoplasia or agenesis of the pancreas, pancreatic beta-cell failure resulting in neonatal insulin-dependent diabetes mellitus, and exocrine pancreatic insufficiency. {ECO:0000269|PubMed:8988180}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Type 2 diabetes mellitus (T2D) [MIM:125853]: A multifactorial disorder of glucose homeostasis caused by a lack of sensitivity to insulin. Affected individuals usually have an obese body habitus and manifestations of a metabolic syndrome characterized by diabetes, insulin resistance, hypertension and hypertriglyceridemia. The disease results in long-term complications that affect the eyes, kidneys, nerves, and blood vessels. {ECO:0000269|PubMed:10545530, ECO:0000269|PubMed:10545531}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.; DISEASE: Maturity-onset diabetes of the young 4 (MODY4) [MIM:606392]: A form of diabetes that is characterized by an autosomal dominant mode of inheritance, onset in childhood or early adulthood (usually before 25 years of age), a primary defect in insulin secretion and frequent insulin-independence at the beginning of the disease. {ECO:0000269|PubMed:9326926}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
