	Entry	Gene Names	Involvement in disease	Organism
0	Q6UWZ7	ABRAXAS1 ABRA1 CCDC98 FAM175A UNQ496/PRO1013	DISEASE: Breast cancer (BC) [MIM:114480]: A common malignancy originating from breast epithelial tissue. Breast neoplasms can be distinguished by their histologic pattern. Invasive ductal carcinoma is by far the most common type. Breast cancer is etiologically and genetically heterogeneous. Important genetic factors have been indicated by familial occurrence and bilateral involvement. Mutations at more than one locus can be involved in different families or even in the same case. {ECO:0000269|PubMed:22357538, ECO:0000269|PubMed:25105795}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.	Homo sapiens (Human)
1	O75417	POLQ POLH	DISEASE: Breast cancer (BC) [MIM:114480]: A common malignancy originating from breast epithelial tissue. Breast neoplasms can be distinguished by their histologic pattern. Invasive ductal carcinoma is by far the most common type. Breast cancer is etiologically and genetically heterogeneous. Important genetic factors have been indicated by familial occurrence and bilateral involvement. Mutations at more than one locus can be involved in different families or even in the same case. {ECO:0000269|PubMed:20624954, ECO:0000269|PubMed:20700469, ECO:0000269|PubMed:25409685}. Note=The gene represented in this entry may be involved in disease pathogenesis.	Homo sapiens (Human)
2	Q9BX63	BRIP1 BACH1 FANCJ	DISEASE: Breast cancer (BC) [MIM:114480]: A common malignancy originating from breast epithelial tissue. Breast neoplasms can be distinguished by their histologic pattern. Invasive ductal carcinoma is by far the most common type. Breast cancer is etiologically and genetically heterogeneous. Important genetic factors have been indicated by familial occurrence and bilateral involvement. Mutations at more than one locus can be involved in different families or even in the same case. {ECO:0000269|PubMed:11301010, ECO:0000269|PubMed:14983014}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.; DISEASE: Fanconi anemia complementation group J (FANCJ) [MIM:609054]: A disorder affecting all bone marrow elements and resulting in anemia, leukopenia and thrombopenia. It is associated with cardiac, renal and limb malformations, dermal pigmentary changes, and a predisposition to the development of malignancies. At the cellular level it is associated with hypersensitivity to DNA-damaging agents, chromosomal instability (increased chromosome breakage) and defective DNA repair. {ECO:0000269|PubMed:16116423, ECO:0000269|PubMed:16116424, ECO:0000269|PubMed:20639400}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
3	Q06609	RAD51 RAD51A RECA	DISEASE: Breast cancer (BC) [MIM:114480]: A common malignancy originating from breast epithelial tissue. Breast neoplasms can be distinguished by their histologic pattern. Invasive ductal carcinoma is by far the most common type. Breast cancer is etiologically and genetically heterogeneous. Important genetic factors have been indicated by familial occurrence and bilateral involvement. Mutations at more than one locus can be involved in different families or even in the same case. {ECO:0000269|PubMed:10807537, ECO:0000269|PubMed:25539919}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.; DISEASE: Mirror movements 2 (MRMV2) [MIM:614508]: A disorder characterized by contralateral involuntary movements that mirror voluntary ones. While mirror movements are occasionally found in young children, persistence beyond the age of 10 is abnormal. Mirror movements occur more commonly in the upper extremities. {ECO:0000269|PubMed:22305526, ECO:0000269|PubMed:30406765, ECO:0000269|PubMed:38314870}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Fanconi anemia, complementation group R (FANCR) [MIM:617244]: A disorder affecting all bone marrow elements and resulting in anemia, leukopenia and thrombopenia. It is associated with cardiac, renal and limb malformations, dermal pigmentary changes, and a predisposition to the development of malignancies. At the cellular level it is associated with hypersensitivity to DNA-damaging agents, chromosomal instability (increased chromosome breakage) and defective DNA repair. {ECO:0000269|PubMed:26253028, ECO:0000269|PubMed:26681308}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
4	O75771	RAD51D RAD51L3	DISEASE: Breast-ovarian cancer, familial, 4 (BROVCA4) [MIM:614291]: A condition associated with familial predisposition to cancer of the breast and ovaries. Characteristic features in affected families are an early age of onset of breast cancer (often before age 50), increased chance of bilateral cancers (cancer that develop in both breasts, or both ovaries, independently), frequent occurrence of breast cancer among men, increased incidence of tumors of other specific organs, such as the prostate. {ECO:0000269|PubMed:21822267}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.	Homo sapiens (Human)
5	Q86YC2	PALB2 FANCN	DISEASE: Breast cancer (BC) [MIM:114480]: A common malignancy originating from breast epithelial tissue. Breast neoplasms can be distinguished by their histologic pattern. Invasive ductal carcinoma is by far the most common type. Breast cancer is etiologically and genetically heterogeneous. Important genetic factors have been indicated by familial occurrence and bilateral involvement. Mutations at more than one locus can be involved in different families or even in the same case. {ECO:0000269|PubMed:17287723, ECO:0000269|PubMed:22241545, ECO:0000269|PubMed:28319063}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry. Breast cancer susceptibility is strongly associated with PALB2 truncating mutations. Conversely, rare missense mutations do not strongly influence breast cancer risk (PubMed:22241545). {ECO:0000269|PubMed:22241545}.; DISEASE: Fanconi anemia complementation group N (FANCN) [MIM:610832]: A disorder affecting all bone marrow elements and resulting in anemia, leukopenia and thrombopenia. It is associated with cardiac, renal and limb malformations, dermal pigmentary changes, and a predisposition to the development of malignancies. At the cellular level it is associated with hypersensitivity to DNA-damaging agents, chromosomal instability (increased chromosome breakage) and defective DNA repair. {ECO:0000269|PubMed:17200671, ECO:0000269|PubMed:17200672}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Pancreatic cancer 3 (PNCA3) [MIM:613348]: A malignant neoplasm of the pancreas. Tumors can arise from both the exocrine and endocrine portions of the pancreas, but 95% of them develop from the exocrine portion, including the ductal epithelium, acinar cells, connective tissue, and lymphatic tissue. {ECO:0000269|PubMed:19264984}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.; DISEASE: Breast-ovarian cancer, familial, 5 (BROVCA5) [MIM:620442]: A condition associated with familial predisposition to cancer of the breast and ovaries. Characteristic features in affected families are an early age of onset of breast cancer (often before age 50), increased chance of bilateral cancers (cancer that develop in both breasts, or both ovaries, independently), frequent occurrence of breast cancer among men, increased incidence of tumors of other specific organs, such as the prostate. {ECO:0000269|PubMed:17200668, ECO:0000269|PubMed:18053174, ECO:0000269|PubMed:23448497, ECO:0000269|PubMed:24556926, ECO:0000269|PubMed:31841383}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.	Homo sapiens (Human)
6	O60934	NBN NBS NBS1 P95	DISEASE: Nijmegen breakage syndrome (NBS) [MIM:251260]: A disorder characterized by chromosomal instability, radiation sensitivity, microcephaly, growth retardation, immunodeficiency and predisposition to cancer, particularly to lymphoid malignancies. {ECO:0000269|PubMed:9590180}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Breast cancer (BC) [MIM:114480]: A common malignancy originating from breast epithelial tissue. Breast neoplasms can be distinguished by their histologic pattern. Invasive ductal carcinoma is by far the most common type. Breast cancer is etiologically and genetically heterogeneous. Important genetic factors have been indicated by familial occurrence and bilateral involvement. Mutations at more than one locus can be involved in different families or even in the same case. {ECO:0000269|PubMed:14684699}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.; DISEASE: Aplastic anemia (AA) [MIM:609135]: A form of anemia in which the bone marrow fails to produce adequate numbers of peripheral blood elements. It is characterized by peripheral pancytopenia and marrow hypoplasia. {ECO:0000269|PubMed:15338273}. Note=Disease susceptibility may be associated with variants affecting the gene represented in this entry.; DISEASE: Note=Defects in NBN might play a role in the pathogenesis of childhood acute lymphoblastic leukemia (ALL). {ECO:0000269|PubMed:11325820}.	Homo sapiens (Human)
7	O15297	PPM1D WIP1	DISEASE: Jansen-de Vries syndrome (JDVS) [MIM:617450]: An autosomal dominant neurodevelopmental disorder characterized by mild to severe intellectual disability, psychomotor developmental delay, speech delay, and behavioral manifestations including attention deficit-hyperactivity disorder, autism and anxiety disorders. Most patients have variable additional features, including feeding and gastrointestinal difficulties, high pain threshold, hypersensitivity to sound, hypotonia, broad-based gait, and dysmorphic features, including mild facial abnormalities, strabismus, and small hands and feet. {ECO:0000269|PubMed:28343630}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Breast cancer (BC) [MIM:114480]: A common malignancy originating from breast epithelial tissue. Breast neoplasms can be distinguished by their histologic pattern. Invasive ductal carcinoma is by far the most common type. Breast cancer is etiologically and genetically heterogeneous. Important genetic factors have been indicated by familial occurrence and bilateral involvement. Mutations at more than one locus can be involved in different families or even in the same case. {ECO:0000269|PubMed:23242139}. Note=Disease susceptibility may be associated with variants affecting the gene represented in this entry.; DISEASE: Ovarian cancer (OC) [MIM:167000]: The term ovarian cancer defines malignancies originating from ovarian tissue. Although many histologic types of ovarian tumors have been described, epithelial ovarian carcinoma is the most common form. Ovarian cancers are often asymptomatic and the recognized signs and symptoms, even of late-stage disease, are vague. Consequently, most patients are diagnosed with advanced disease. {ECO:0000269|PubMed:23242139}. Note=Disease susceptibility may be associated with variants affecting the gene represented in this entry.	Homo sapiens (Human)
8	Q14289	PTK2B FAK2 PYK2 RAFTK	DISEASE: Note=Aberrant PTK2B/PYK2 expression may play a role in cancer cell proliferation, migration and invasion, in tumor formation and metastasis. Elevated PTK2B/PYK2 expression is seen in gliomas, hepatocellular carcinoma, lung cancer and breast cancer.	Homo sapiens (Human)
9	Q9NTX7	RNF146	DISEASE: Note=Defects in RNF146 are a cause of susceptibility to breast cancer.	Homo sapiens (Human)
