	Entry	Gene Names	Involvement in disease	Organism
0	Q8IXK2	GALNT12	DISEASE: Colorectal cancer 1 (CRCS1) [MIM:608812]: A complex disease characterized by malignant lesions arising from the inner wall of the large intestine (the colon) and the rectum. Genetic alterations are often associated with progression from premalignant lesion (adenoma) to invasive adenocarcinoma. Risk factors for cancer of the colon and rectum include colon polyps, long-standing ulcerative colitis, and genetic family history. {ECO:0000269|PubMed:19617566, ECO:0000269|PubMed:22461326, ECO:0000269|PubMed:24115450}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry. The role of GALNT12 in colon cancer susceptibility is however subject to discussion: studies on 103 probants with colorectal cancer 1 (CRCS1) suggest that it does not act as a major contributor of CRCS1 (PubMed:24115450). {ECO:0000269|PubMed:24115450}.	Homo sapiens (Human)
1	Q9Y2T1	AXIN2	DISEASE: Colorectal cancer (CRC) [MIM:114500]: A complex disease characterized by malignant lesions arising from the inner wall of the large intestine (the colon) and the rectum. Genetic alterations are often associated with progression from premalignant lesion (adenoma) to invasive adenocarcinoma. Risk factors for cancer of the colon and rectum include colon polyps, long-standing ulcerative colitis, and genetic family history. {ECO:0000269|PubMed:11017067}. Note=The gene represented in this entry is involved in disease pathogenesis.; DISEASE: Oligodontia-colorectal cancer syndrome (ODCRCS) [MIM:608615]: Affected individuals manifest severe tooth agenesis and colorectal cancer or precancerous lesions of variable types. {ECO:0000269|PubMed:15042511}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
2	Q9UHC1	MLH3	DISEASE: Hereditary non-polyposis colorectal cancer 7 (HNPCC7) [MIM:614385]: An autosomal dominant disease associated with marked increase in cancer susceptibility. It is characterized by a familial predisposition to early-onset colorectal carcinoma (CRC) and extra-colonic tumors of the gastrointestinal, urological and female reproductive tracts. HNPCC is reported to be the most common form of inherited colorectal cancer in the Western world. Clinically, HNPCC is often divided into two subgroups. Type I is characterized by hereditary predisposition to colorectal cancer, a young age of onset, and carcinoma observed in the proximal colon. Type II is characterized by increased risk for cancers in certain tissues such as the uterus, ovary, breast, stomach, small intestine, skin, and larynx in addition to the colon. Diagnosis of classical HNPCC is based on the Amsterdam criteria: 3 or more relatives affected by colorectal cancer, one a first degree relative of the other two; 2 or more generation affected; 1 or more colorectal cancers presenting before 50 years of age; exclusion of hereditary polyposis syndromes. The term 'suspected HNPCC' or 'incomplete HNPCC' can be used to describe families who do not or only partially fulfill the Amsterdam criteria, but in whom a genetic basis for colon cancer is strongly suspected. {ECO:0000269|PubMed:11586295}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Colorectal cancer (CRC) [MIM:114500]: A complex disease characterized by malignant lesions arising from the inner wall of the large intestine (the colon) and the rectum. Genetic alterations are often associated with progression from premalignant lesion (adenoma) to invasive adenocarcinoma. Risk factors for cancer of the colon and rectum include colon polyps, long-standing ulcerative colitis, and genetic family history. {ECO:0000269|PubMed:11317354}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
3	P16422	EPCAM GA733-2 M1S2 M4S1 MIC18 TACSTD1 TROP1	DISEASE: Diarrhea 5, with tufting enteropathy, congenital (DIAR5) [MIM:613217]: An intractable diarrhea of infancy characterized by villous atrophy and absence of inflammation, with intestinal epithelial cell dysplasia manifesting as focal epithelial tufts in the duodenum and jejunum. {ECO:0000269|PubMed:18572020, ECO:0000269|PubMed:24142340}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Lynch syndrome 8 (LYNCH8) [MIM:613244]: A form of Lynch syndrome, an autosomal dominant disease associated with marked increase in cancer susceptibility. It is characterized by a familial predisposition to early-onset colorectal carcinoma (CRC) and extra-colonic tumors of the gastrointestinal, urological and female reproductive tracts. Lynch syndrome is reported to be the most common form of inherited colorectal cancer in the Western world. Clinically, it is often divided into two subgroups. Type I is characterized by hereditary predisposition to colorectal cancer, a young age of onset, and carcinoma observed in the proximal colon. Type II is characterized by increased risk for cancers in certain tissues such as the uterus, ovary, breast, stomach, small intestine, skin, and larynx in addition to the colon. Diagnosis of classical Lynch syndrome is based on the Amsterdam criteria: 3 or more relatives affected by colorectal cancer, one a first degree relative of the other two; 2 or more generation affected; 1 or more colorectal cancers presenting before 50 years of age; exclusion of hereditary polyposis syndromes. The term 'suspected Lynch syndrome' or 'incomplete Lynch syndrome' can be used to describe families who do not or only partially fulfill the Amsterdam criteria, but in whom a genetic basis for colon cancer is strongly suspected. {ECO:0000269|PubMed:19098912}. Note=The disease is caused by variants affecting the gene represented in this entry. LYNCH8 results from heterozygous deletion of 3-prime exons of EPCAM and intergenic regions directly upstream of MSH2, resulting in transcriptional read-through and epigenetic silencing of MSH2 in tissues expressing EPCAM.	Homo sapiens (Human)
4	O15105	SMAD7 MADH7 MADH8	DISEASE: Colorectal cancer 3 (CRCS3) [MIM:612229]: A complex disease characterized by malignant lesions arising from the inner wall of the large intestine (the colon) and the rectum. Genetic alterations are often associated with progression from premalignant lesion (adenoma) to invasive adenocarcinoma. Risk factors for cancer of the colon and rectum include colon polyps, long-standing ulcerative colitis, and genetic family history. {ECO:0000269|PubMed:17934461}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.	Homo sapiens (Human)
5	P52701	MSH6 GTBP	DISEASE: Lynch syndrome 5 (LYNCH5) [MIM:614350]: A form of Lynch syndrome, an autosomal dominant disease associated with marked increase in cancer susceptibility. It is characterized by a familial predisposition to early-onset colorectal carcinoma (CRC) and extra-colonic tumors of the gastrointestinal, urological and female reproductive tracts. Lynch syndrome is reported to be the most common form of inherited colorectal cancer in the Western world. Clinically, it is often divided into two subgroups. Type I is characterized by hereditary predisposition to colorectal cancer, a young age of onset, and carcinoma observed in the proximal colon. Type II is characterized by increased risk for cancers in certain tissues such as the uterus, ovary, breast, stomach, small intestine, skin, and larynx in addition to the colon. Diagnosis of classical Lynch syndrome is based on the Amsterdam criteria: 3 or more relatives affected by colorectal cancer, one a first degree relative of the other two; 2 or more generation affected; 1 or more colorectal cancers presenting before 50 years of age; exclusion of hereditary polyposis syndromes. The term 'suspected Lynch syndrome' or 'incomplete Lynch syndrome' can be used to describe families who do not or only partially fulfill the Amsterdam criteria, but in whom a genetic basis for colon cancer is strongly suspected. {ECO:0000269|PubMed:10480359, ECO:0000269|PubMed:10521294, ECO:0000269|PubMed:11586295, ECO:0000269|PubMed:12658575, ECO:0000269|PubMed:14974087, ECO:0000269|PubMed:15365995, ECO:0000269|PubMed:21120944, ECO:0000269|PubMed:22102614, ECO:0000269|PubMed:9354786}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Endometrial cancer (ENDMC) [MIM:608089]: A malignancy of endometrium, the mucous lining of the uterus. Most endometrial cancers are adenocarcinomas, cancers that begin in cells that make and release mucus and other fluids. {ECO:0000269|PubMed:11153917, ECO:0000269|PubMed:14961575}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.; DISEASE: Mismatch repair cancer syndrome 3 (MMRCS3) [MIM:619097]: An autosomal recessive form of mismatch repair cancer syndrome, a childhood cancer predisposition syndrome encompassing a broad tumor spectrum. This includes hematological malignancies, central nervous system tumors, Lynch syndrome-associated malignancies such as colorectal tumors as well as multiple intestinal polyps, embryonic tumors and rhabdomyosarcoma. Multiple cafe-au-lait macules, a feature reminiscent of neurofibromatosis type 1, are often found as first manifestation of the underlying cancer. {ECO:0000269|PubMed:17557300}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Colorectal cancer (CRC) [MIM:114500]: A complex disease characterized by malignant lesions arising from the inner wall of the large intestine (the colon) and the rectum. Genetic alterations are often associated with progression from premalignant lesion (adenoma) to invasive adenocarcinoma. Risk factors for cancer of the colon and rectum include colon polyps, long-standing ulcerative colitis, and genetic family history. {ECO:0000269|PubMed:10413423, ECO:0000269|PubMed:10537275, ECO:0000269|PubMed:10699937, ECO:0000269|PubMed:11153917, ECO:0000269|PubMed:11470537, ECO:0000269|PubMed:11709755, ECO:0000269|PubMed:11807791, ECO:0000269|PubMed:12522549, ECO:0000269|PubMed:14520694, ECO:0000269|PubMed:14961575, ECO:0000269|PubMed:15483016, ECO:0000269|PubMed:22102614}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.	Homo sapiens (Human)
6	Q9H6R7	WDCP C2orf44 PP384	DISEASE: Note=A chromosomal aberration involving WDCP is found in one subject with colorectal cancer. Translocation t(2;2)(p23.3;p23.1). A 5 million base pair tandem duplication generates an in-frame WDCP-ALK gene fusion. {ECO:0000269|PubMed:22327622}.	Homo sapiens (Human)
7	P18054	ALOX12 12LO LOG12	DISEASE: Esophageal cancer (ESCR) [MIM:133239]: A malignancy of the esophagus. The most common types are esophageal squamous cell carcinoma and adenocarcinoma. Cancer of the esophagus remains a devastating disease because it is usually not detected until it has progressed to an advanced incurable stage. {ECO:0000269|PubMed:17460548}. Note=Disease susceptibility may be associated with variants affecting the gene represented in this entry. Gln at position 261 may confer interindividual susceptibility to esophageal cancer (PubMed:17460548). {ECO:0000269|PubMed:17460548}.; DISEASE: Colorectal cancer (CRC) [MIM:114500]: A complex disease characterized by malignant lesions arising from the inner wall of the large intestine (the colon) and the rectum. Genetic alterations are often associated with progression from premalignant lesion (adenoma) to invasive adenocarcinoma. Risk factors for cancer of the colon and rectum include colon polyps, long-standing ulcerative colitis, and genetic family history. {ECO:0000269|PubMed:17151091}. Note=Disease susceptibility may be associated with variants affecting the gene represented in this entry. Gln at position 261 may confer interindividual susceptibility to colorectal cancer (PubMed:17460548). {ECO:0000269|PubMed:17460548}.	Homo sapiens (Human)
8	P54278	PMS2 PMSL2	DISEASE: Lynch syndrome 4 (LYNCH4) [MIM:614337]: A form of Lynch syndrome, an autosomal dominant disease associated with marked increase in cancer susceptibility. It is characterized by a familial predisposition to early-onset colorectal carcinoma (CRC) and extra-colonic tumors of the gastrointestinal, urological and female reproductive tracts. Lynch syndrome is reported to be the most common form of inherited colorectal cancer in the Western world. Clinically, it is often divided into two subgroups. Type I is characterized by hereditary predisposition to colorectal cancer, a young age of onset, and carcinoma observed in the proximal colon. Type II is characterized by increased risk for cancers in certain tissues such as the uterus, ovary, breast, stomach, small intestine, skin, and larynx in addition to the colon. Diagnosis of classical Lynch syndrome is based on the Amsterdam criteria: 3 or more relatives affected by colorectal cancer, one a first degree relative of the other two; 2 or more generation affected; 1 or more colorectal cancers presenting before 50 years of age; exclusion of hereditary polyposis syndromes. The term 'suspected Lynch syndrome' or 'incomplete Lynch syndrome' can be used to describe families who do not or only partially fulfill the Amsterdam criteria, but in whom a genetic basis for colon cancer is strongly suspected. {ECO:0000269|PubMed:10480359, ECO:0000269|PubMed:11793469, ECO:0000269|PubMed:15887124, ECO:0000269|PubMed:16472587, ECO:0000269|PubMed:16619239, ECO:0000269|PubMed:18178629, ECO:0000269|PubMed:18602922, ECO:0000269|PubMed:19479271, ECO:0000269|PubMed:20205264, ECO:0000269|PubMed:23709753, ECO:0000269|PubMed:24027009, ECO:0000269|PubMed:30653781, ECO:0000269|PubMed:35189042}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Mismatch repair cancer syndrome 4 (MMRCS4) [MIM:619101]: An autosomal recessive form of mismatch repair cancer syndrome, a childhood cancer predisposition syndrome encompassing a broad tumor spectrum. This includes hematological malignancies, central nervous system tumors, Lynch syndrome-associated malignancies such as colorectal tumors as well as multiple intestinal polyps, embryonic tumors and rhabdomyosarcoma. Multiple cafe-au-lait macules, a feature reminiscent of neurofibromatosis type 1, are often found as first manifestation of the underlying cancer. {ECO:0000269|PubMed:15077197, ECO:0000269|PubMed:17557300, ECO:0000269|PubMed:27435373, ECO:0000269|PubMed:7661930, ECO:0000269|PubMed:9419979}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
9	P43246	MSH2	DISEASE: Lynch syndrome 1 (LYNCH1) [MIM:120435]: A form of Lynch syndrome, an autosomal dominant disease associated with marked increase in cancer susceptibility. It is characterized by a familial predisposition to early-onset colorectal carcinoma (CRC) and extra-colonic tumors of the gastrointestinal, urological and female reproductive tracts. Lynch syndrome is reported to be the most common form of inherited colorectal cancer in the Western world. Clinically, it is often divided into two subgroups. Type I is characterized by hereditary predisposition to colorectal cancer, a young age of onset, and carcinoma observed in the proximal colon. Type II is characterized by increased risk for cancers in certain tissues such as the uterus, ovary, breast, stomach, small intestine, skin, and larynx in addition to the colon. Diagnosis of classical Lynch syndrome is based on the Amsterdam criteria: 3 or more relatives affected by colorectal cancer, one a first degree relative of the other two; 2 or more generation affected; 1 or more colorectal cancers presenting before 50 years of age; exclusion of hereditary polyposis syndromes. The term 'suspected Lynch syndrome' or 'incomplete Lynch syndrome' can be used to describe families who do not or only partially fulfill the Amsterdam criteria, but in whom a genetic basis for colon cancer is strongly suspected. {ECO:0000269|PubMed:10375096, ECO:0000269|PubMed:10386556, ECO:0000269|PubMed:10528862, ECO:0000269|PubMed:10573010, ECO:0000269|PubMed:10612836, ECO:0000269|PubMed:10777691, ECO:0000269|PubMed:10829038, ECO:0000269|PubMed:11726306, ECO:0000269|PubMed:11870161, ECO:0000269|PubMed:11920458, ECO:0000269|PubMed:12112654, ECO:0000269|PubMed:12124176, ECO:0000269|PubMed:12132870, ECO:0000269|PubMed:12200596, ECO:0000269|PubMed:12362047, ECO:0000269|PubMed:12373605, ECO:0000269|PubMed:12655564, ECO:0000269|PubMed:12655568, ECO:0000269|PubMed:12658575, ECO:0000269|PubMed:14635101, ECO:0000269|PubMed:15046096, ECO:0000269|PubMed:15300854, ECO:0000269|PubMed:15342696, ECO:0000269|PubMed:15365995, ECO:0000269|PubMed:15613555, ECO:0000269|PubMed:15870828, ECO:0000269|PubMed:15896463, ECO:0000269|PubMed:15991316, ECO:0000269|PubMed:15996210, ECO:0000269|PubMed:16451135, ECO:0000269|PubMed:17101317, ECO:0000269|PubMed:17128465, ECO:0000269|PubMed:18561205, ECO:0000269|PubMed:18625694, ECO:0000269|PubMed:18781619, ECO:0000269|PubMed:18822302, ECO:0000269|PubMed:18951462, ECO:0000269|PubMed:21120944, ECO:0000269|PubMed:22102614, ECO:0000269|PubMed:22371642, ECO:0000269|PubMed:7874129, ECO:0000269|PubMed:8261515, ECO:0000269|PubMed:8700523, ECO:0000269|PubMed:8797773, ECO:0000269|PubMed:8872463, ECO:0000269|PubMed:9048925, ECO:0000269|PubMed:9240418, ECO:0000269|PubMed:9259192, ECO:0000269|PubMed:9298827, ECO:0000269|PubMed:9311737, ECO:0000269|PubMed:9419403, ECO:0000269|PubMed:9559627, ECO:0000269|PubMed:9621522, ECO:0000269|PubMed:9718327, ECO:0000269|PubMed:9889267}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Muir-Torre syndrome (MRTES) [MIM:158320]: Rare autosomal dominant disorder characterized by sebaceous neoplasms and visceral malignancy. {ECO:0000269|PubMed:7713503}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Endometrial cancer (ENDMC) [MIM:608089]: A malignancy of endometrium, the mucous lining of the uterus. Most endometrial cancers are adenocarcinomas, cancers that begin in cells that make and release mucus and other fluids. {ECO:0000305|PubMed:11306449, ECO:0000305|PubMed:21642682}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.; DISEASE: Mismatch repair cancer syndrome 2 (MMRCS2) [MIM:619096]: An autosomal recessive form of mismatch repair cancer syndrome, a childhood cancer predisposition syndrome encompassing a broad tumor spectrum. This includes hematological malignancies, central nervous system tumors, Lynch syndrome-associated malignancies such as colorectal tumors as well as multiple intestinal polyps, embryonic tumors and rhabdomyosarcoma. Multiple cafe-au-lait macules, a feature reminiscent of neurofibromatosis type 1, are often found as first manifestation of the underlying cancer. {ECO:0000269|PubMed:12549480, ECO:0000269|PubMed:16372347}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Colorectal cancer (CRC) [MIM:114500]: A complex disease characterized by malignant lesions arising from the inner wall of the large intestine (the colon) and the rectum. Genetic alterations are often associated with progression from premalignant lesion (adenoma) to invasive adenocarcinoma. Risk factors for cancer of the colon and rectum include colon polyps, long-standing ulcerative colitis, and genetic family history. {ECO:0000269|PubMed:12792735, ECO:0000269|PubMed:14504054, ECO:0000269|PubMed:15996210, ECO:0000269|PubMed:9559627}. Note=Disease susceptibility may be associated with variants affecting the gene represented in this entry.	Homo sapiens (Human)
