	Entry	Gene Names	Involvement in disease	Organism
0	Q04637	EIF4G1 EIF4F EIF4G EIF4GI	DISEASE: Parkinson disease 18 (PARK18) [MIM:614251]: An autosomal dominant, late-onset form of Parkinson disease. Parkinson disease is a complex neurodegenerative disorder characterized by bradykinesia, resting tremor, muscular rigidity and postural instability, as well as by a clinically significant response to treatment with levodopa. The pathology involves the loss of dopaminergic neurons in the substantia nigra and the presence of Lewy bodies (intraneuronal accumulations of aggregated proteins), in surviving neurons in various areas of the brain. {ECO:0000269|PubMed:21907011}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
1	Q9Y6H5	SNCAIP	DISEASE: Parkinson disease (PARK) [MIM:168600]: A complex neurodegenerative disorder characterized by bradykinesia, resting tremor, muscular rigidity and postural instability. Additional features are characteristic postural abnormalities, dysautonomia, dystonic cramps, and dementia. The pathology of Parkinson disease involves the loss of dopaminergic neurons in the substantia nigra and the presence of Lewy bodies (intraneuronal accumulations of aggregated proteins), in surviving neurons in various areas of the brain. The disease is progressive and usually manifests after the age of 50 years, although early-onset cases (before 50 years) are known. The majority of the cases are sporadic suggesting a multifactorial etiology based on environmental and genetic factors. However, some patients present with a positive family history for the disease. Familial forms of the disease usually begin at earlier ages and are associated with atypical clinical features. {ECO:0000269|PubMed:12761037}. Note=Disease susceptibility may be associated with variants affecting the gene represented in this entry.	Homo sapiens (Human)
2	Q96A57	TMEM230 C20orf30 HSPC274 UNQ2432/PRO4992	DISEASE: Parkinson disease (PARK) [MIM:168600]: A complex neurodegenerative disorder characterized by bradykinesia, resting tremor, muscular rigidity and postural instability. Additional features are characteristic postural abnormalities, dysautonomia, dystonic cramps, and dementia. The pathology of Parkinson disease involves the loss of dopaminergic neurons in the substantia nigra and the presence of Lewy bodies (intraneuronal accumulations of aggregated proteins), in surviving neurons in various areas of the brain. The disease is progressive and usually manifests after the age of 50 years, although early-onset cases (before 50 years) are known. The majority of the cases are sporadic suggesting a multifactorial etiology based on environmental and genetic factors. However, some patients present with a positive family history for the disease. Familial forms of the disease usually begin at earlier ages and are associated with atypical clinical features. {ECO:0000269|PubMed:27270108}. Note=The gene represented in this entry may be involved in disease pathogenesis. Genetic variants in TMEM230 and DNAJC13 have been found in the same large multigenerational family with adult-onset Parkinson disease. The pathological role of each gene and therefore the exact molecular basis of the disease is unclear. {ECO:0000305|PubMed:27270108}.	Homo sapiens (Human)
3	O60260	PRKN PARK2	DISEASE: Parkinson disease (PARK) [MIM:168600]: A complex neurodegenerative disorder characterized by bradykinesia, resting tremor, muscular rigidity and postural instability. Additional features are characteristic postural abnormalities, dysautonomia, dystonic cramps, and dementia. The pathology of Parkinson disease involves the loss of dopaminergic neurons in the substantia nigra and the presence of Lewy bodies (intraneuronal accumulations of aggregated proteins), in surviving neurons in various areas of the brain. The disease is progressive and usually manifests after the age of 50 years, although early-onset cases (before 50 years) are known. The majority of the cases are sporadic suggesting a multifactorial etiology based on environmental and genetic factors. However, some patients present with a positive family history for the disease. Familial forms of the disease usually begin at earlier ages and are associated with atypical clinical features. {ECO:0000269|PubMed:12629236, ECO:0000269|PubMed:12730996, ECO:0000269|PubMed:19966284, ECO:0000269|PubMed:29311685}. Note=Disease susceptibility may be associated with variants affecting the gene represented in this entry. Heterozygous mutations act as susceptibility alleles for late-onset Parkinson disease (PubMed:12629236, PubMed:12730996).; DISEASE: Parkinson disease 2 (PARK2) [MIM:600116]: An autosomal recessive form of Parkinson disease, a complex neurodegenerative disorder characterized by bradykinesia, resting tremor, muscular rigidity and postural instability. PARK2 differs from classic forms of Parkinson disease by early DOPA-induced dyskinesia, diurnal fluctuation of the symptoms, sleep benefit, dystonia and hyper-reflexia. Dementia is absent. Pathologically, patients show loss of dopaminergic neurons in the substantia nigra, similar to that seen in classic Parkinson disease; however, Lewy bodies (intraneuronal accumulations of aggregated proteins) are absent. Disease onset is usually before age 40 years. {ECO:0000269|PubMed:10072423, ECO:0000269|PubMed:10824074, ECO:0000269|PubMed:10888878, ECO:0000269|PubMed:10939576, ECO:0000269|PubMed:11163284, ECO:0000269|PubMed:11179010, ECO:0000269|PubMed:11431533, ECO:0000269|PubMed:11487568, ECO:0000269|PubMed:11590439, ECO:0000269|PubMed:11971093, ECO:0000269|PubMed:12056932, ECO:0000269|PubMed:12112109, ECO:0000269|PubMed:12114481, ECO:0000269|PubMed:12116199, ECO:0000269|PubMed:12362318, ECO:0000269|PubMed:12397156, ECO:0000269|PubMed:12629236, ECO:0000269|PubMed:12730996, ECO:0000269|PubMed:12925569, ECO:0000269|PubMed:15584030, ECO:0000269|PubMed:17360614, ECO:0000269|PubMed:19229105, ECO:0000269|PubMed:19801972, ECO:0000269|PubMed:20404107, ECO:0000269|PubMed:20889486, ECO:0000269|PubMed:20889974, ECO:0000269|PubMed:21376232, ECO:0000269|PubMed:22396657, ECO:0000269|PubMed:22956510, ECO:0000269|PubMed:23770917, ECO:0000269|PubMed:32047033, ECO:0000269|PubMed:9560156, ECO:0000269|PubMed:9731209}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Note=Defects in PRKN may be involved in the development and/or progression of ovarian cancer.	Homo sapiens (Human)
4	Q96QK1	VPS35 MEM3 TCCCTA00141	DISEASE: Parkinson disease 17 (PARK17) [MIM:614203]: An autosomal dominant, adult-onset form of Parkinson disease. Parkinson disease is a complex neurodegenerative disorder characterized by bradykinesia, resting tremor, muscular rigidity and postural instability, as well as by a clinically significant response to treatment with levodopa. The pathology involves the loss of dopaminergic neurons in the substantia nigra and the presence of Lewy bodies (intraneuronal accumulations of aggregated proteins), in surviving neurons in various areas of the brain. {ECO:0000269|PubMed:21763482, ECO:0000269|PubMed:21763483, ECO:0000269|PubMed:22517097, ECO:0000269|PubMed:23395371, ECO:0000269|PubMed:24819384, ECO:0000269|PubMed:24980502}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
5	Q9Y6H1	CHCHD2 C7orf17 AAG10	DISEASE: Parkinson disease 22 (PARK22) [MIM:616710]: An autosomal dominant form of Parkinson disease, a complex neurodegenerative disorder characterized by bradykinesia, resting tremor, muscular rigidity and postural instability, as well as by a clinically significant response to treatment with levodopa. The pathology involves the loss of dopaminergic neurons in the substantia nigra and the presence of Lewy bodies (intraneuronal accumulations of aggregated proteins), in surviving neurons in various areas of the brain. {ECO:0000269|PubMed:25662902}. Note=The gene represented in this entry may be involved in disease pathogenesis.	Homo sapiens (Human)
6	Q9BXM7	PINK1	DISEASE: Parkinson disease 6 (PARK6) [MIM:605909]: An early-onset form of Parkinson disease, a neurodegenerative disorder characterized by parkinsonian signs such as rigidity, resting tremor and bradykinesia. A subset of patients manifest additional symptoms including hyperreflexia, autonomic instability, dementia and psychiatric disturbances. Symptoms show diurnal fluctuation and can improve after sleep. PARK6 pathogenesis involves respiratory complex I deficiency causing mitochondrial depolarization and dysfunction. Inheritance is autosomal recessive. {ECO:0000269|PubMed:15087508, ECO:0000269|PubMed:15349860, ECO:0000269|PubMed:15349870, ECO:0000269|PubMed:15505171, ECO:0000269|PubMed:15596610, ECO:0000269|PubMed:15955953, ECO:0000269|PubMed:15970950, ECO:0000269|PubMed:16009891, ECO:0000269|PubMed:16207217, ECO:0000269|PubMed:16207731, ECO:0000269|PubMed:16257123, ECO:0000269|PubMed:16401616, ECO:0000269|PubMed:16482571, ECO:0000269|PubMed:16632486, ECO:0000269|PubMed:16966503, ECO:0000269|PubMed:17030667, ECO:0000269|PubMed:18286320, ECO:0000269|PubMed:18785233, ECO:0000269|PubMed:19229105, ECO:0000269|PubMed:19351622, ECO:0000269|PubMed:20547144, ECO:0000269|PubMed:20798600, ECO:0000269|PubMed:22043288, ECO:0000269|PubMed:22396657, ECO:0000269|PubMed:22956510, ECO:0000269|PubMed:24652937, ECO:0000269|PubMed:24784582}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
7	Q9BSA9	TMEM175	DISEASE: Parkinson disease (PARK) [MIM:168600]: A complex neurodegenerative disorder characterized by bradykinesia, resting tremor, muscular rigidity and postural instability. Additional features are characteristic postural abnormalities, dysautonomia, dystonic cramps, and dementia. The pathology of Parkinson disease involves the loss of dopaminergic neurons in the substantia nigra and the presence of Lewy bodies (intraneuronal accumulations of aggregated proteins), in surviving neurons in various areas of the brain. The disease is progressive and usually manifests after the age of 50 years, although early-onset cases (before 50 years) are known. The majority of the cases are sporadic suggesting a multifactorial etiology based on environmental and genetic factors. However, some patients present with a positive family history for the disease. Familial forms of the disease usually begin at earlier ages and are associated with atypical clinical features. {ECO:0000269|PubMed:28193887, ECO:0000269|PubMed:31261387, ECO:0000269|PubMed:31658403, ECO:0000269|PubMed:33505021}. Note=Disease susceptibility may be associated with variants affecting the gene represented in this entry. TMEM175 defects result in unstable lysosomal pH, leading to decreased lysosomal catalytic activity, decreased glucocerebrosidase activity, impaired autophagosome clearance by the lysosome and decreased mitochondrial respiration (PubMed:28193887). {ECO:0000269|PubMed:28193887}.	Homo sapiens (Human)
8	Q6Y7W6	GIGYF2 KIAA0642 PERQ2 TNRC15	DISEASE: Parkinson disease 11 (PARK11) [MIM:607688]: A complex neurodegenerative disorder characterized by bradykinesia, resting tremor, muscular rigidity and postural instability, as well as by a clinically significant response to treatment with levodopa. The pathology involves the loss of dopaminergic neurons in the substantia nigra and the presence of Lewy bodies (intraneuronal accumulations of aggregated proteins), in surviving neurons in various areas of the brain. {ECO:0000269|PubMed:18358451, ECO:0000269|PubMed:20060621, ECO:0000269|PubMed:20178831, ECO:0000269|PubMed:26134514}. Note=Disease susceptibility may be associated with variants affecting the gene represented in this entry. Its association with Parkinson disease is however unclear. According to a number of studies, variations affecting this gene are not a frequent cause of Parkinson disease, suggesting that GIGYF2 does not play a major role in Parkinson disease etiology (PubMed:19279319, PubMed:19321232, PubMed:19429085, PubMed:19482505, PubMed:19638301, PubMed:20004041, PubMed:20060621). {ECO:0000269|PubMed:19279319, ECO:0000269|PubMed:19321232, ECO:0000269|PubMed:19429085, ECO:0000269|PubMed:19482505, ECO:0000269|PubMed:19638301, ECO:0000269|PubMed:20004041, ECO:0000269|PubMed:20060621}.	Homo sapiens (Human)
9	Q96DA2	RAB39B	DISEASE: Intellectual developmental disorder, X-linked 72 (XLID72) [MIM:300271]: A disorder characterized by significantly below average general intellectual functioning associated with impairments in adaptive behavior and manifested during the developmental period. Intellectual deficiency is the only primary symptom of non-syndromic X-linked forms, while syndromic forms present with associated physical, neurological and/or psychiatric manifestations. XLID72 patients can manifest autism spectrum disorder, seizures and macrocephaly as additional features. {ECO:0000269|PubMed:20159109}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Waisman syndrome (WSMN) [MIM:311510]: A neurologic disorder characterized by delayed psychomotor development, intellectual disability, and early-onset Parkinson disease. {ECO:0000269|PubMed:25434005, ECO:0000269|PubMed:26399558, ECO:0000269|PubMed:27066548}. Note=The disease is caused by variants affecting the gene represented in this entry. Its association with Parkinson disease is however unclear (PubMed:26739247, PubMed:27459931). According to a number of studies, variations affecting this gene are not a frequent cause of Parkinson disease, suggesting that RAB39B does not play a major role in Parkinson disease etiology (PubMed:26739247, PubMed:27459931). {ECO:0000269|PubMed:26739247, ECO:0000269|PubMed:27459931}.	Homo sapiens (Human)
