	Entry	Gene Names	Involvement in disease	Organism
0	A1A4Y4	IRGM IFI1 IRGM1 LRG47	DISEASE: Inflammatory bowel disease 19 (IBD19) [MIM:612278]: A chronic, relapsing inflammation of the gastrointestinal tract with a complex etiology. It is subdivided into Crohn disease and ulcerative colitis phenotypes. Crohn disease may affect any part of the gastrointestinal tract from the mouth to the anus, but most frequently it involves the terminal ileum and colon. Bowel inflammation is transmural and discontinuous; it may contain granulomas or be associated with intestinal or perianal fistulas. In contrast, in ulcerative colitis, the inflammation is continuous and limited to rectal and colonic mucosal layers; fistulas and granulomas are not observed. Both diseases include extraintestinal inflammation of the skin, eyes, or joints. {ECO:0000269|PubMed:17554261, ECO:0000269|PubMed:19165925, ECO:0000269|PubMed:19174780, ECO:0000269|PubMed:20106866, ECO:0000269|PubMed:21278745}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.	Homo sapiens (Human)
1	Q08334	IL10RB CRFB4 D21S58 D21S66	DISEASE: Inflammatory bowel disease 25, autosomal recessive (IBD25) [MIM:612567]: A chronic, relapsing inflammation of the gastrointestinal tract with a complex etiology. It is subdivided into Crohn disease and ulcerative colitis phenotypes. Crohn disease may affect any part of the gastrointestinal tract from the mouth to the anus, but most frequently it involves the terminal ileum and colon. Bowel inflammation is transmural and discontinuous; it may contain granulomas or be associated with intestinal or perianal fistulas. In contrast, in ulcerative colitis, the inflammation is continuous and limited to rectal and colonic mucosal layers; fistulas and granulomas are not observed. Both diseases include extraintestinal inflammation of the skin, eyes, or joints. {ECO:0000269|PubMed:19890111}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
2	Q676U5	ATG16L1 APG16L UNQ9393/PRO34307	DISEASE: Inflammatory bowel disease 10 (IBD10) [MIM:611081]: A chronic, relapsing inflammation of the gastrointestinal tract with a complex etiology. It is subdivided into Crohn disease and ulcerative colitis phenotypes. Crohn disease may affect any part of the gastrointestinal tract from the mouth to the anus, but most frequently it involves the terminal ileum and colon. Bowel inflammation is transmural and discontinuous; it may contain granulomas or be associated with intestinal or perianal fistulas. In contrast, in ulcerative colitis, the inflammation is continuous and limited to rectal and colonic mucosal layers; fistulas and granulomas are not observed. Both diseases include extraintestinal inflammation of the skin, eyes, or joints. {ECO:0000269|PubMed:17200669, ECO:0000269|PubMed:17435756, ECO:0000269|PubMed:17484864, ECO:0000269|PubMed:18047540, ECO:0000269|PubMed:18499543, ECO:0000269|PubMed:18985712, ECO:0000269|PubMed:19659808, ECO:0000269|PubMed:24656308}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.	Homo sapiens (Human)
3	Q9NZH6	IL37 FIL1Z IL1F7 IL1H4 IL1RP1	DISEASE: Inflammatory bowel disease 31, autosomal recessive (IBD31) [MIM:619398]: A form of inflammatory bowel disease, a chronic, relapsing inflammation of the gastrointestinal tract with a complex etiology and a multifactorial inheritance pattern. It is subdivided into Crohn disease and ulcerative colitis phenotypes. Crohn disease may affect any part of the gastrointestinal tract from the mouth to the anus, but most frequently it involves the terminal ileum and colon. Bowel inflammation is transmural and discontinuous; it may contain granulomas or be associated with intestinal or perianal fistulas. In contrast, in ulcerative colitis, the inflammation is continuous and limited to rectal and colonic mucosal layers; fistulas and granulomas are not observed. Both diseases include extraintestinal inflammation of the skin, eyes, or joints. IBD31 patients suffer from infantile ulcerative colitis and present with recurrent bloody diarrhea with anemia and leukocytosis, extensive lymphoplasmocytic infiltration, cryptitis, and apoptotic crypt abcesses throughout the colon and rectum. {ECO:0000269|PubMed:33674380}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
4	Q9Y5S8	NOX1 MOX1 NOH1	DISEASE: Note=Defects in NOX1 may play a role in the pathogenesis of very early onset inflammatory bowel disease (VEOIBD), a chronic, relapsing inflammation of the gastrointestinal tract with a complex etiology diagnosed before 6 years of age. VEOIBD is subdivided into Crohn disease and ulcerative colitis phenotypes. Crohn disease may affect any part of the gastrointestinal tract from the mouth to the anus, but the phenotype of children with onset of Crohn disease occurring younger than the age of 10 is predominantly colonic, with a lower risk of ileal disease. Bowel inflammation is transmural and discontinuous; it may contain granulomas or be associated with intestinal or perianal fistulas. In contrast, in ulcerative colitis, the inflammation is continuous and limited to rectal and colonic mucosal layers; fistulas and granulomas are not observed. Both diseases include extraintestinal inflammation of the skin, eyes, or joints. {ECO:0000269|PubMed:26301257}.	Homo sapiens (Human)
5	Q3KP66	INAVA C1orf106	DISEASE: Inflammatory bowel disease 29 (IBD29) [MIM:618077]: A chronic, relapsing inflammation of the gastrointestinal tract with a complex etiology. It is subdivided into Crohn disease and ulcerative colitis phenotypes. Crohn disease may affect any part of the gastrointestinal tract from the mouth to the anus, but most frequently it involves the terminal ileum and colon. Bowel inflammation is transmural and discontinuous; it may contain granulomas or be associated with intestinal or perianal fistulas. In contrast, in ulcerative colitis, the inflammation is continuous and limited to rectal and colonic mucosal layers; fistulas and granulomas are not observed. Both diseases include extraintestinal inflammation of the skin, eyes, or joints. {ECO:0000269|PubMed:21983784, ECO:0000269|PubMed:28436939, ECO:0000269|PubMed:29420262}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.	Homo sapiens (Human)
6	Q5VWK5	IL23R	DISEASE: Inflammatory bowel disease 17 (IBD17) [MIM:612261]: A chronic, relapsing inflammation of the gastrointestinal tract with a complex etiology. It is subdivided into Crohn disease and ulcerative colitis phenotypes. Crohn disease may affect any part of the gastrointestinal tract from the mouth to the anus, but most frequently it involves the terminal ileum and colon. Bowel inflammation is transmural and discontinuous; it may contain granulomas or be associated with intestinal or perianal fistulas. In contrast, in ulcerative colitis, the inflammation is continuous and limited to rectal and colonic mucosal layers; fistulas and granulomas are not observed. Both diseases include extraintestinal inflammation of the skin, eyes, or joints. {ECO:0000269|PubMed:17068223, ECO:0000269|PubMed:17804789}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.	Homo sapiens (Human)
7	Q9NSC7	ST6GALNAC1 SIAT7A UNQ543/PRO848	DISEASE: Note=Inflammatory bowel disease (PubMed:35303419). A chronic, relapsing inflammation of the gastrointestinal tract with a complex etiology (PubMed:35303419). It is subdivided into Crohn disease and ulcerative colitis phenotypes (PubMed:35303419). Crohn disease may affect any part of the gastrointestinal tract from the mouth to the anus, but most frequently it involves the terminal ileum and colon (PubMed:35303419). Bowel inflammation is transmural and discontinuous; it may contain granulomas or be associated with intestinal or perianal fistulas (PubMed:35303419). In contrast, in ulcerative colitis, the inflammation is continuous and limited to rectal and colonic mucosal layers; fistulas and granulomas are not observed (PubMed:35303419). Both diseases include extraintestinal inflammation of the skin, eyes, or joints (PubMed:35303419). Disease susceptibility is associated with variants affecting the gene represented in this entry (PubMed:35303419). {ECO:0000269|PubMed:35303419}.	Homo sapiens (Human)
8	Q9HC29	NOD2 CARD15	DISEASE: Blau syndrome (BLAUS) [MIM:186580]: An autosomal dominant inflammatory disorder characterized by the formation of immune granulomas invading the skin, joints and eye. Other organs may be involved. Clinical manifestations are variable and include early-onset granulomatous arthritis, uveitis and skin rash. Blindness, joint destruction and visceral involvement have been reported in severe cases. {ECO:0000269|PubMed:11528384, ECO:0000269|PubMed:12626759, ECO:0000269|PubMed:15459013, ECO:0000269|PubMed:15812565, ECO:0000269|PubMed:19116920, ECO:0000269|PubMed:19169908, ECO:0000269|PubMed:19359344, ECO:0000269|PubMed:19479837, ECO:0000269|PubMed:20199415, ECO:0000269|PubMed:24960071, ECO:0000269|PubMed:25093298, ECO:0000269|PubMed:25692065, ECO:0000269|PubMed:25724124, ECO:0000269|PubMed:27812135, ECO:0000269|PubMed:34251956}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Inflammatory bowel disease 1 (IBD1) [MIM:266600]: A chronic, relapsing inflammation of the gastrointestinal tract with a complex etiology. It is subdivided into Crohn disease and ulcerative colitis phenotypes. Crohn disease may affect any part of the gastrointestinal tract from the mouth to the anus, but most frequently it involves the terminal ileum and colon. Bowel inflammation is transmural and discontinuous; it may contain granulomas or be associated with intestinal or perianal fistulas. In contrast, in ulcerative colitis, the inflammation is continuous and limited to rectal and colonic mucosal layers; fistulas and granulomas are not observed. Both diseases include extraintestinal inflammation of the skin, eyes, or joints. {ECO:0000269|PubMed:11385576, ECO:0000269|PubMed:11385577, ECO:0000269|PubMed:12514169, ECO:0000269|PubMed:12626759, ECO:0000269|PubMed:15024686, ECO:0000269|PubMed:15044951, ECO:0000269|PubMed:15198989, ECO:0000269|PubMed:15998797, ECO:0000269|PubMed:16485124, ECO:0000269|PubMed:24790089, ECO:0000269|PubMed:24960071, ECO:0000269|PubMed:27812135}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.; DISEASE: Yao syndrome (YAOS) [MIM:617321]: An autoinflammatory disease characterized by periodic fever, dermatitis, polyarthritis, leg swelling, and gastrointestinal and sicca-like symptoms. YAOS is a complex disease with multifactorial inheritance. {ECO:0000269|PubMed:21914217, ECO:0000269|PubMed:26070941}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.	Homo sapiens (Human)
9	P08183	ABCB1 MDR1 PGY1	DISEASE: Inflammatory bowel disease 13 (IBD13) [MIM:612244]: A chronic, relapsing inflammation of the gastrointestinal tract with a complex etiology. It is subdivided into Crohn disease and ulcerative colitis phenotypes. Crohn disease may affect any part of the gastrointestinal tract from the mouth to the anus, but most frequently it involves the terminal ileum and colon. Bowel inflammation is transmural and discontinuous; it may contain granulomas or be associated with intestinal or perianal fistulas. In contrast, in ulcerative colitis, the inflammation is continuous and limited to rectal and colonic mucosal layers; fistulas and granulomas are not observed. Both diseases include extraintestinal inflammation of the skin, eyes, or joints. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.; DISEASE: Encephalopathy, acute transient (ENPAT) [MIM:620950]: An autosomal recessive neurologic disorder triggered by specific drugs, or acute febrile or afebrile illness. Clinical features include encephalopathy, ataxia, spasticity, pyramidal signs, diplopia, vomiting, and coma. Symptoms fully resolve within few days. {ECO:0000269|PubMed:32627353, ECO:0000269|PubMed:32813957}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
