	Entry	Gene Names	Involvement in disease	Organism
0	Q6P3S1	DENND1B C1orf218 FAM31B	DISEASE: Asthma (ASTHMA) [MIM:600807]: The most common chronic disease affecting children and young adults. It is a complex genetic disorder with a heterogeneous phenotype, largely attributed to the interactions among many genes and between these genes and the environment. It is characterized by recurrent attacks of paroxysmal dyspnea, with wheezing due to spasmodic contraction of the bronchi. {ECO:0000269|PubMed:20032318, ECO:0000269|PubMed:26774822}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry. Asthma susceptibility is probably caused by decreased TCR down-modulation and recycling in TH2 cells, causing prolonged TCR signaling and increased cytokine production in TH2 lymphocytes (PubMed:26774822). {ECO:0000269|PubMed:26774822}.	Homo sapiens (Human)
1	Q9UL17	TBX21 TBET TBLYM	DISEASE: Asthma, with nasal polyps and aspirin intolerance (ANPAI) [MIM:208550]: A condition consisting of asthma, aspirin sensitivity and nasal polyposis. Nasal polyposis is due to chronic inflammation of the paranasal sinus mucosa, leading to protrusion of edematous polyps into the nasal cavities. {ECO:0000269|PubMed:15806396}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.; DISEASE: Immunodeficiency 88 (IMD88) [MIM:619630]: An autosomal recessive disorder characterized by the development of disseminated mycobacterial disease following vaccination with BCG. Clinical features included fever, lymphadenopathy, and cutaneous eruption. {ECO:0000269|PubMed:33296702}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
2	Q9BZ11	ADAM33 C20orf153 UNQ873/PRO1891	DISEASE: Asthma (ASTHMA) [MIM:600807]: The most common chronic disease affecting children and young adults. It is a complex genetic disorder with a heterogeneous phenotype, largely attributed to the interactions among many genes and between these genes and the environment. It is characterized by recurrent attacks of paroxysmal dyspnea, with wheezing due to spasmodic contraction of the bronchi. {ECO:0000269|PubMed:12110844, ECO:0000269|PubMed:16773130, ECO:0000269|PubMed:19237393}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.	Homo sapiens (Human)
3	Q9Y616	IRAK3	DISEASE: Asthma-related traits 5 (ASRT5) [MIM:611064]: Asthma-related traits include clinical symptoms of asthma, such as coughing, wheezing, dyspnea, bronchial hyperresponsiveness as assessed by methacholine challenge test, serum IgE levels, atopy and atopic dermatitis. {ECO:0000269|PubMed:17503328}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.	Homo sapiens (Human)
4	Q6ZTQ4	CDHR3 CDH28	DISEASE: Note=Asthma susceptibility may be associated with variants affecting the gene represented in this entry in early childhood asthma with severe exacerbations occurring between 2 and 6 years of age. {ECO:0000269|PubMed:24241537}.	Homo sapiens (Human)
5	Q8N138	ORMDL3	DISEASE: Asthma (ASTHMA) [MIM:600807]: The most common chronic disease affecting children and young adults. It is a complex genetic disorder with a heterogeneous phenotype, largely attributed to the interactions among many genes and between these genes and the environment. It is characterized by recurrent attacks of paroxysmal dyspnea, with wheezing due to spasmodic contraction of the bronchi. {ECO:0000269|PubMed:18395550, ECO:0000269|PubMed:18760456, ECO:0000269|PubMed:19133921}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry. SNPs on 17q21 locus that are associated with childhood asthma also show a consistent and strong association with transcript levels of ORMDL3, indicating that genetic variants regulating ORMDL3 expression are determinants of susceptibility to childhood asthma. {ECO:0000269|PubMed:17611496}.	Homo sapiens (Human)
6	Q8N608	DPP10 DPRP3 KIAA1492	DISEASE: Asthma (ASTHMA) [MIM:600807]: The most common chronic disease affecting children and young adults. It is a complex genetic disorder with a heterogeneous phenotype, largely attributed to the interactions among many genes and between these genes and the environment. It is characterized by recurrent attacks of paroxysmal dyspnea, with wheezing due to spasmodic contraction of the bronchi. {ECO:0000269|PubMed:14566338, ECO:0000269|PubMed:19237393}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.	Homo sapiens (Human)
7	Q13258	PTGDR	DISEASE: Asthma-related traits 1 (ASRT1) [MIM:607277]: Asthma-related traits include clinical symptoms of asthma, such as coughing, wheezing, dyspnea, bronchial hyperresponsiveness as assessed by methacholine challenge test, serum IgE levels, atopy and atopic dermatitis. {ECO:0000269|PubMed:15496624}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.	Homo sapiens (Human)
8	Q8TAX7	MUC7 MG2	DISEASE: Asthma (ASTHMA) [MIM:600807]: The most common chronic disease affecting children and young adults. It is a complex genetic disorder with a heterogeneous phenotype, largely attributed to the interactions among many genes and between these genes and the environment. It is characterized by recurrent attacks of paroxysmal dyspnea, with wheezing due to spasmodic contraction of the bronchi. {ECO:0000269|PubMed:11378823}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.	Homo sapiens (Human)
9	P36222	CHI3L1	DISEASE: Asthma-related traits 7 (ASRT7) [MIM:611960]: Asthma-related traits include clinical symptoms of asthma, such as coughing, wheezing, dyspnea, bronchial hyperresponsiveness as assessed by methacholine challenge test, serum IgE levels, atopy and atopic dermatitis. {ECO:0000269|PubMed:18403759}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.; DISEASE: Schizophrenia (SCZD) [MIM:181500]: A complex, multifactorial psychotic disorder or group of disorders characterized by disturbances in the form and content of thought (e.g. delusions, hallucinations), in mood (e.g. inappropriate affect), in sense of self and relationship to the external world (e.g. loss of ego boundaries, withdrawal), and in behavior (e.g bizarre or apparently purposeless behavior). Although it affects emotions, it is distinguished from mood disorders in which such disturbances are primary. Similarly, there may be mild impairment of cognitive function, and it is distinguished from the dementias in which disturbed cognitive function is considered primary. Some patients manifest schizophrenic as well as bipolar disorder symptoms and are often given the diagnosis of schizoaffective disorder. {ECO:0000269|PubMed:17160890, ECO:0000269|PubMed:20051317}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.	Homo sapiens (Human)
