	Entry	Gene Names	Involvement in disease	Organism
0	P50750	CDK9 CDC2L4 TAK	DISEASE: Note=Chronic activation of CDK9 causes cardiac myocyte enlargement leading to cardiac hypertrophy and confers predisposition to heart failure.	Homo sapiens (Human)
1	Q13045	FLII FLIL	DISEASE: Cardiomyopathy, dilated, 2J (CMD2J) [MIM:620635]: A form of dilated cardiomyopathy, a disorder characterized by ventricular dilation and impaired systolic function, resulting in congestive heart failure and arrhythmia. Patients are at risk of premature death. CMD2J is an autosomal recessive form characterized by onset of heart failure within the first year of life. {ECO:0000269|PubMed:32870709, ECO:0000269|PubMed:37561591}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
2	Q6P5Q4	LMOD2	DISEASE: Cardiomyopathy, dilated, 2G (CMD2G) [MIM:619897]: A form of dilated cardiomyopathy, a disorder characterized by ventricular dilation and impaired systolic function, resulting in congestive heart failure and arrhythmia. Patients are at risk of premature death. CMD2G is an autosomal recessive form characterized by early-onset, severe cardiomyopathy that progresses rapidly to heart failure in the neonatal period without evidence of intervening hypertrophy. {ECO:0000269|PubMed:31517052, ECO:0000269|PubMed:34888509, ECO:0000269|PubMed:35082396, ECO:0000269|PubMed:35188328}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
3	Q5T481	RBM20	DISEASE: Cardiomyopathy, dilated, 1DD (CMD1DD) [MIM:613172]: A disorder characterized by ventricular dilation and impaired systolic function, resulting in congestive heart failure and arrhythmia. Patients are at risk of premature death. {ECO:0000269|PubMed:19712804, ECO:0000269|PubMed:20590677, ECO:0000269|PubMed:21846512, ECO:0000269|PubMed:22004663, ECO:0000269|PubMed:22466703, ECO:0000269|PubMed:23861363, ECO:0000269|PubMed:26604136, ECO:0000269|PubMed:27496873, ECO:0000269|PubMed:29895960, ECO:0000269|PubMed:30262925, ECO:0000269|PubMed:30871348, ECO:0000269|PubMed:30871351, ECO:0000269|PubMed:31583969, ECO:0000269|PubMed:32840935, ECO:0000269|PubMed:33188278, ECO:0000269|PubMed:34021826, ECO:0000269|PubMed:34174465, ECO:0000269|PubMed:34322310, ECO:0000269|PubMed:34732726, ECO:0000269|PubMed:35427468}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Note=Left ventricular non-compaction (LVNCX): A form of left ventricular non-compaction, a cardiomyopathy due to myocardial morphogenesis arrest and characterized by a hypertrophic left ventricle, a severely thickened 2-layered myocardium, numerous prominent trabeculations, deep intertrabecular recesses, and poor systolic function. Clinical manifestations are variable. Some affected individuals experience no symptoms at all, others develop heart failure. In some cases, left ventricular non-compaction is associated with other congenital heart anomalies. The disease is caused by variants affecting the gene represented in this entry. {ECO:0000269|PubMed:32851336}.	Homo sapiens (Human)
4	Q8WUU5	GATAD1 ODAG	DISEASE: Cardiomyopathy, dilated, 2B (CMD2B) [MIM:614672]: A disorder characterized by ventricular dilation and impaired systolic function, resulting in congestive heart failure and arrhythmia. Patients are at risk of premature death. {ECO:0000269|PubMed:21965549}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
5	Q99593	TBX5	DISEASE: Holt-Oram syndrome (HOS) [MIM:142900]: Developmental disorder affecting the heart and upper limbs. It is characterized by thumb anomaly and atrial septal defects. {ECO:0000269|PubMed:10077612, ECO:0000269|PubMed:10842287, ECO:0000269|PubMed:12818525, ECO:0000269|PubMed:15735645, ECO:0000269|PubMed:20450920, ECO:0000269|PubMed:8988164, ECO:0000269|PubMed:8988165}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Note=Defects in TBX5 are associated with susceptibility to heart disorders including dilated cardiomyopathy (DCM) and atrial fibrillation (AF). DCM is characterized by ventricular and impaired systolic function, resulting in heart failure and arrhythmia. Patient are at risk of premature death. AF is a common sustained cardiac rhythm disturbance. AF is characterized by disorganized atrial electrical activity and ineffective atrial contraction promoting blood stasis in the atria and reduces ventricular filling. It can result in palpitations, syncope, thromboembolic stroke, and congestive heart failure. {ECO:0000269|PubMed:25725155, ECO:0000269|PubMed:25963046, ECO:0000269|PubMed:26917986, ECO:0000269|PubMed:27035640}.	Homo sapiens (Human)
6	Q16363	LAMA4	DISEASE: Cardiomyopathy, dilated, 1JJ (CMD1JJ) [MIM:615235]: A disorder characterized by ventricular dilation and impaired systolic function, resulting in congestive heart failure and arrhythmia. Patients are at risk of premature death. {ECO:0000269|PubMed:17646580}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
7	Q92901	RPL3L	DISEASE: Cardiomyopathy, dilated, 2D (CMD2D) [MIM:619371]: A form of dilated cardiomyopathy, a disorder characterized by ventricular dilation and impaired systolic function, resulting in congestive heart failure and arrhythmia. Patients are at risk of premature death. CMD2D is an autosomal recessive, severe form with neonatal onset. {ECO:0000269|PubMed:32514796, ECO:0000269|PubMed:32870709, ECO:0000269|PubMed:35323613, ECO:0000269|PubMed:36291431}. Note=The disease may be caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
8	Q969P5	FBXO32	DISEASE: Note=Defects in FBXO32 are associated with susceptibility to dilated cardiomyopathy (DCM). A disorder characterized by ventricular and impaired systolic function, resulting in heart failure and arrhythmia. Patient are at risk of premature death. {ECO:0000269|PubMed:26753747, ECO:0000269|PubMed:26768247}.	Homo sapiens (Human)
9	Q14119	VEZF1 DB1 ZNF161	DISEASE: Cardiomyopathy, dilated, 1OO (CMD1OO) [MIM:620247]: A disorder characterized by ventricular dilation and impaired systolic function, resulting in congestive heart failure and arrhythmia. Patients are at risk of premature death. CMD1OO inheritance is autosomal dominant. {ECO:0000269|PubMed:36657711}. Note=The disease may be caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
