	Entry	Gene Names	Involvement in disease	Organism
0	Q8IZY2	ABCA7	DISEASE: Alzheimer disease 9 (AD9) [MIM:608907]: A familial, late-onset form of Alzheimer disease. Alzheimer disease is a neurodegenerative disorder characterized by progressive dementia, loss of cognitive abilities, and deposition of fibrillar amyloid proteins as intraneuronal neurofibrillary tangles, extracellular amyloid plaques and vascular amyloid deposits. The major constituents of these plaques are neurotoxic amyloid-beta protein 40 and amyloid-beta protein 42, that are produced by the proteolysis of the transmembrane APP protein. The cytotoxic C-terminal fragments (CTFs) and the caspase-cleaved products, such as C31, are also implicated in neuronal death. {ECO:0000269|PubMed:25807283, ECO:0000269|PubMed:26141617, ECO:0000269|PubMed:29577078}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.	Homo sapiens (Human)
1	P49810	PSEN2 AD4 PS2 PSNL2 STM2	DISEASE: Alzheimer disease 4 (AD4) [MIM:606889]: A familial early-onset form of Alzheimer disease. Alzheimer disease is a neurodegenerative disorder characterized by progressive dementia, loss of cognitive abilities, and deposition of fibrillar amyloid proteins as intraneuronal neurofibrillary tangles, extracellular amyloid plaques and vascular amyloid deposits. The major constituents of these plaques are neurotoxic amyloid-beta protein 40 and amyloid-beta protein 42, that are produced by the proteolysis of the transmembrane APP protein. The cytotoxic C-terminal fragments (CTFs) and the caspase-cleaved products, such as C31, are also implicated in neuronal death. {ECO:0000269|PubMed:10631141, ECO:0000269|PubMed:10732806, ECO:0000269|PubMed:14681895, ECO:0000269|PubMed:16752394, ECO:0000269|PubMed:16959576, ECO:0000269|PubMed:21285369, ECO:0000269|PubMed:21544564, ECO:0000269|PubMed:22503161, ECO:0000269|PubMed:24838186, ECO:0000269|PubMed:24844686, ECO:0000269|PubMed:27293189, ECO:0000269|PubMed:7638622, ECO:0000269|PubMed:7651536, ECO:0000269|PubMed:9384602}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Cardiomyopathy, dilated, 1V (CMD1V) [MIM:613697]: A disorder characterized by ventricular dilation and impaired systolic function, resulting in congestive heart failure and arrhythmia. Patients are at risk of premature death. {ECO:0000269|PubMed:17186461}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
2	Q92673	SORL1 C11orf32	DISEASE: Alzheimer disease (AD) [MIM:104300]: Alzheimer disease is a neurodegenerative disorder characterized by progressive dementia, loss of cognitive abilities, and deposition of fibrillar amyloid proteins as intraneuronal neurofibrillary tangles, extracellular amyloid plaques and vascular amyloid deposits. The major constituents of these plaques are neurotoxic amyloid-beta protein 40 and amyloid-beta protein 42, that are produced by the proteolysis of the transmembrane APP protein. The cytotoxic C-terminal fragments (CTFs) and the caspase-cleaved products, such as C31, are also implicated in neuronal death. {ECO:0000269|PubMed:21220680, ECO:0000269|PubMed:22472873, ECO:0000269|PubMed:23565137, ECO:0000269|PubMed:24523320}. Note=The gene represented in this entry may be involved in disease pathogenesis.	Homo sapiens (Human)
3	P02649	APOE	DISEASE: Hyperlipoproteinemia 3 (HLPP3) [MIM:617347]: A disorder characterized by the accumulation of intermediate-density lipoprotein particles (IDL or broad-beta-lipoprotein) rich in cholesterol. Clinical features include xanthomas, yellowish lipid deposits in the palmar crease, or less specific on tendons and on elbows. The disorder rarely manifests before the third decade in men. In women, it is usually expressed only after the menopause. {ECO:0000269|PubMed:1361196, ECO:0000269|PubMed:1674745, ECO:0000269|PubMed:2101409, ECO:0000269|PubMed:22481068, ECO:0000269|PubMed:2313204, ECO:0000269|PubMed:2556398, ECO:0000269|PubMed:26802169, ECO:0000269|PubMed:2738044, ECO:0000269|PubMed:7635945, ECO:0000269|PubMed:7833947, ECO:0000269|PubMed:8287539}. Note=The disease is caused by variants affecting the gene represented in this entry. The vast majority of the patients are homozygous for APOE*2 alleles. More severe cases of HLPP3 have also been observed in individuals heterozygous for rare APOE variants. The influence of APOE on lipid levels is often suggested to have major implications for the risk of coronary artery disease (CAD). Individuals carrying the common APOE*4 variant are at higher risk of CAD.; DISEASE: Alzheimer disease 2 (AD2) [MIM:104310]: A late-onset form of Alzheimer disease. Alzheimer disease is a neurodegenerative disorder characterized by progressive dementia, loss of cognitive abilities, and deposition of fibrillar amyloid proteins as intraneuronal neurofibrillary tangles, extracellular amyloid plaques and vascular amyloid deposits. The major constituents of these plaques are neurotoxic amyloid-beta protein 40 and amyloid-beta protein 42, that are produced by the proteolysis of the transmembrane APP protein. The cytotoxic C-terminal fragments (CTFs) and the caspase-cleaved products, such as C31, are also implicated in neuronal death. {ECO:0000269|PubMed:10903326, ECO:0000269|PubMed:11258893, ECO:0000269|PubMed:11447277, ECO:0000269|PubMed:28111074, ECO:0000269|PubMed:2987927, ECO:0000269|PubMed:7891887, ECO:0000269|PubMed:7972031, ECO:0000269|PubMed:8071364, ECO:0000269|PubMed:8346443, ECO:0000269|PubMed:8367470, ECO:0000269|PubMed:8939961}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry. The APOE*4 allele (APOE form E4) is genetically associated with the common late onset familial and sporadic forms of Alzheimer disease. Risk for AD increased from 20% to 90% and mean age at onset decreased from 84 to 68 years with increasing number of APOE*4 alleles in 42 families with late onset AD. Thus APOE*4 gene dose is a major risk factor for late onset AD and, in these families, homozygosity for APOE*4 was virtually sufficient to cause AD by age 80. The mechanism by which APOE*4 participates in pathogenesis is not known. {ECO:0000269|PubMed:8346443}.; DISEASE: Sea-blue histiocyte disease (SBHD) [MIM:269600]: Characterized by splenomegaly, mild thrombocytopenia and, in the bone marrow, numerous histiocytes containing cytoplasmic granules which stain bright blue with the usual hematologic stains. The syndrome is the consequence of an inherited metabolic defect analogous to Gaucher disease and other sphingolipidoses. {ECO:0000269|PubMed:11095479, ECO:0000269|PubMed:16094309, ECO:0000269|PubMed:22481068, ECO:0000269|PubMed:22949395, ECO:0000269|PubMed:24267230, ECO:0000269|PubMed:26802169}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Lipoprotein glomerulopathy (LPG) [MIM:611771]: Uncommon kidney disease characterized by proteinuria, progressive kidney failure, and distinctive lipoprotein thrombi in glomerular capillaries. {ECO:0000269|PubMed:10432380, ECO:0000269|PubMed:10903326, ECO:0000269|PubMed:18077821, ECO:0000269|PubMed:9176854}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
4	O95185	UNC5C UNC5H3	DISEASE: Alzheimer disease (AD) [MIM:104300]: Alzheimer disease is a neurodegenerative disorder characterized by progressive dementia, loss of cognitive abilities, and deposition of fibrillar amyloid proteins as intraneuronal neurofibrillary tangles, extracellular amyloid plaques and vascular amyloid deposits. The major constituents of these plaques are neurotoxic amyloid-beta protein 40 and amyloid-beta protein 42, that are produced by the proteolysis of the transmembrane APP protein. The cytotoxic C-terminal fragments (CTFs) and the caspase-cleaved products, such as C31, are also implicated in neuronal death. {ECO:0000269|PubMed:25419706, ECO:0000269|PubMed:27068745}. Note=Disease susceptibility may be associated with variants affecting the gene represented in this entry.	Homo sapiens (Human)
5	P05067	APP A4 AD1	DISEASE: Alzheimer disease 1 (AD1) [MIM:104300]: A form of Alzheimer disease, a neurodegenerative disorder characterized by progressive dementia, loss of cognitive abilities, and deposition of fibrillar amyloid proteins as intraneuronal neurofibrillary tangles, extracellular amyloid plaques and vascular amyloid deposits. The major constituents of these plaques are neurotoxic amyloid-beta protein 40 and amyloid-beta protein 42, that are produced by the proteolysis of the transmembrane APP protein. The cytotoxic C-terminal fragments (CTFs) and the caspase-cleaved products, such as C31, are also implicated in neuronal death. It can be associated with cerebral amyloid angiopathy. Alzheimer disease can be associated with cerebral amyloid angiopathy. {ECO:0000269|PubMed:10097173, ECO:0000269|PubMed:10631141, ECO:0000269|PubMed:10656250, ECO:0000269|PubMed:10665499, ECO:0000269|PubMed:10677483, ECO:0000269|PubMed:10867787, ECO:0000269|PubMed:11063718, ECO:0000269|PubMed:11311152, ECO:0000269|PubMed:11528419, ECO:0000269|PubMed:12034808, ECO:0000269|PubMed:1302033, ECO:0000269|PubMed:1303239, ECO:0000269|PubMed:1303275, ECO:0000269|PubMed:1415269, ECO:0000269|PubMed:1465129, ECO:0000269|PubMed:15201367, ECO:0000269|PubMed:15365148, ECO:0000269|PubMed:15668448, ECO:0000269|PubMed:1671712, ECO:0000269|PubMed:1678058, ECO:0000269|PubMed:1908231, ECO:0000269|PubMed:1925564, ECO:0000269|PubMed:1944558, ECO:0000269|PubMed:8267572, ECO:0000269|PubMed:8290042, ECO:0000269|PubMed:8476439, ECO:0000269|PubMed:8577393, ECO:0000269|PubMed:8886002, ECO:0000269|PubMed:9328472, ECO:0000269|PubMed:9754958}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Cerebral amyloid angiopathy, APP-related (CAA-APP) [MIM:605714]: A hereditary localized amyloidosis due to amyloid-beta A4 peptide(s) deposition in the cerebral vessels. The principal clinical characteristics are recurrent cerebral and cerebellar hemorrhages, recurrent strokes, cerebral ischemia, cerebral infarction, and progressive mental deterioration. Patients develop cerebral hemorrhage because of the severe cerebral amyloid angiopathy. Parenchymal amyloid deposits are rare and largely in the form of pre-amyloid lesions or diffuse plaque-like structures. They are Congo red negative and lack the dense amyloid cores commonly present in Alzheimer disease. Some affected individuals manifest progressive aphasic dementia, leukoencephalopathy, and occipital calcifications. {ECO:0000269|PubMed:11409420, ECO:0000269|PubMed:12654973, ECO:0000269|PubMed:16178030, ECO:0000269|PubMed:20697050, ECO:0000269|PubMed:2111584}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
6	O15294	OGT	DISEASE: Note=Regulation of OGT activity and altered O-GlcNAcylations are implicated in diabetes and Alzheimer disease. O-GlcNAcylation of AKT1 affects insulin signaling and, possibly diabetes. Reduced O-GlcNAcylations and resulting increased phosphorylations of MAPT/TAU are observed in Alzheimer disease (AD) brain cerebrum. {ECO:0000269|PubMed:19451179}.; DISEASE: Intellectual developmental disorder, X-linked 106 (XLID106) [MIM:300997]: A form of intellectual disability, a disorder characterized by significantly below average general intellectual functioning associated with impairments in adaptive behavior and manifested during the developmental period. Intellectual deficiency is the only primary symptom of non-syndromic X-linked forms, while syndromic forms present with associated physical, neurological and/or psychiatric manifestations. {ECO:0000269|PubMed:26273451, ECO:0000269|PubMed:28302723, ECO:0000269|PubMed:28584052}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
7	Q9NRA0	SPHK2 SK2	DISEASE: Note=In patients with Alzheimer's disease brains, may be preferentially localized in the nucleus. Cytosolic expression decrease correlates with the density of amyloid deposits. {ECO:0000269|PubMed:29615132}.	Homo sapiens (Human)
8	Q9NZC2	TREM2	DISEASE: Polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy 2 (PLOSL2) [MIM:618193]: An autosomal recessive disease characterized by presenile frontal dementia with leukoencephalopathy and basal ganglia calcification. In most cases the disorder first manifests in early adulthood as pain and swelling in ankles and feet, followed by bone fractures. Neurologic symptoms manifest in the fourth decade of life as a frontal lobe syndrome with loss of judgment, euphoria, and disinhibition. Progressive decline in other cognitive domains begins to develop at about the same time. The disorder culminates in a profound dementia and death by age 50 years. {ECO:0000269|PubMed:12080485, ECO:0000269|PubMed:12754369, ECO:0000269|PubMed:12925681, ECO:0000269|PubMed:15883308, ECO:0000269|PubMed:23399524, ECO:0000269|PubMed:25615530, ECO:0000269|PubMed:27995897, ECO:0000269|PubMed:28768830, ECO:0000269|PubMed:28923481, ECO:0000269|PubMed:29142083}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Alzheimer disease 17 (AD17) [MIM:615080]: A late-onset form of Alzheimer disease. Alzheimer disease is a neurodegenerative disorder characterized by progressive dementia, loss of cognitive abilities, and deposition of fibrillar amyloid proteins as intraneuronal neurofibrillary tangles, extracellular amyloid plaques and vascular amyloid deposits. The major constituents of these plaques are neurotoxic amyloid-beta protein 40 and amyloid-beta protein 42, that are produced by the proteolysis of the transmembrane APP protein. The cytotoxic C-terminal fragments (CTFs) and the caspase-cleaved products, such as C31, are also implicated in neuronal death. {ECO:0000269|PubMed:23150908, ECO:0000269|PubMed:24899047, ECO:0000269|PubMed:27589997, ECO:0000269|PubMed:38899702}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.	Homo sapiens (Human)
9	P49768	PSEN1 AD3 PS1 PSNL1	DISEASE: Alzheimer disease 3 (AD3) [MIM:607822]: A familial early-onset form of Alzheimer disease. Alzheimer disease is a neurodegenerative disorder characterized by progressive dementia, loss of cognitive abilities, and deposition of fibrillar amyloid proteins as intraneuronal neurofibrillary tangles, extracellular amyloid plaques and vascular amyloid deposits. The major constituents of these plaques are neurotoxic amyloid-beta protein 40 and amyloid-beta protein 42, that are produced by the proteolysis of the transmembrane APP protein. The cytotoxic C-terminal fragments (CTFs) and the caspase-cleaved products, such as C31, are also implicated in neuronal death. {ECO:0000269|PubMed:10025789, ECO:0000269|PubMed:10090481, ECO:0000269|PubMed:10200054, ECO:0000269|PubMed:10208579, ECO:0000269|PubMed:10439444, ECO:0000269|PubMed:10441572, ECO:0000269|PubMed:10447269, ECO:0000269|PubMed:10533070, ECO:0000269|PubMed:10631141, ECO:0000269|PubMed:10644793, ECO:0000269|PubMed:11027672, ECO:0000269|PubMed:11524469, ECO:0000269|PubMed:11561050, ECO:0000269|PubMed:11568920, ECO:0000269|PubMed:11701593, ECO:0000269|PubMed:11710891, ECO:0000269|PubMed:11796781, ECO:0000269|PubMed:11920851, ECO:0000269|PubMed:12048239, ECO:0000269|PubMed:12058025, ECO:0000269|PubMed:12370477, ECO:0000269|PubMed:12484344, ECO:0000269|PubMed:12493737, ECO:0000269|PubMed:12552037, ECO:0000269|PubMed:15004326, ECO:0000269|PubMed:15122701, ECO:0000269|PubMed:15364419, ECO:0000269|PubMed:15534188, ECO:0000269|PubMed:15534260, ECO:0000269|PubMed:15851849, ECO:0000269|PubMed:16305624, ECO:0000269|PubMed:16344340, ECO:0000269|PubMed:16628450, ECO:0000269|PubMed:16752394, ECO:0000269|PubMed:16897084, ECO:0000269|PubMed:16959576, ECO:0000269|PubMed:17366635, ECO:0000269|PubMed:17428795, ECO:0000269|PubMed:17502474, ECO:0000269|PubMed:18430735, ECO:0000269|PubMed:19667325, ECO:0000269|PubMed:19797784, ECO:0000269|PubMed:20164095, ECO:0000269|PubMed:20460383, ECO:0000269|PubMed:21335660, ECO:0000269|PubMed:21501661, ECO:0000269|PubMed:22461631, ECO:0000269|PubMed:22503161, ECO:0000269|PubMed:22529981, ECO:0000269|PubMed:23123781, ECO:0000269|PubMed:23843529, ECO:0000269|PubMed:24121961, ECO:0000269|PubMed:24495933, ECO:0000269|PubMed:24582897, ECO:0000269|PubMed:25394380, ECO:0000269|PubMed:26145164, ECO:0000269|PubMed:26280335, ECO:0000269|PubMed:26549787, ECO:0000269|PubMed:27073747, ECO:0000269|PubMed:27930341, ECO:0000269|PubMed:29175279, ECO:0000269|PubMed:29404783, ECO:0000269|PubMed:29466804, ECO:0000269|PubMed:30180983, ECO:0000269|PubMed:30200536, ECO:0000269|PubMed:7550356, ECO:0000269|PubMed:7596406, ECO:0000269|PubMed:7651536, ECO:0000269|PubMed:8634711, ECO:0000269|PubMed:8634712, ECO:0000269|PubMed:8733303, ECO:0000269|PubMed:8837617, ECO:0000269|PubMed:8875251, ECO:0000269|PubMed:9172170, ECO:0000269|PubMed:9225696, ECO:0000269|PubMed:9298817, ECO:0000269|PubMed:9384602, ECO:0000269|PubMed:9507958, ECO:0000269|PubMed:9521423, ECO:0000269|PubMed:9719376, ECO:0000269|PubMed:9831473, ECO:0000269|PubMed:9833068, ECO:0000269|Ref.95}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Frontotemporal dementia 1 (FTD1) [MIM:600274]: A form of dementia characterized by pathologic finding of frontotemporal lobar degeneration, presenile dementia with behavioral changes, deterioration of cognitive capacities and loss of memory. In some cases, parkinsonian symptoms are prominent. Neuropathological changes include frontotemporal atrophy often associated with atrophy of the basal ganglia, substantia nigra, amygdala. In most cases, protein tau deposits are found in glial cells and/or neurons. {ECO:0000269|PubMed:11094121}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Cardiomyopathy, dilated, 1U (CMD1U) [MIM:613694]: A disorder characterized by ventricular dilation and impaired systolic function, resulting in congestive heart failure and arrhythmia. Patients are at risk of premature death. {ECO:0000269|PubMed:17186461, ECO:0000269|PubMed:27930341}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Acne inversa, familial, 3 (ACNINV3) [MIM:613737]: A chronic relapsing inflammatory disease of the hair follicles characterized by recurrent draining sinuses, painful skin abscesses, and disfiguring scars. Manifestations typically appear after puberty. {ECO:0000269|PubMed:20929727}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Pick disease of the brain (PIDB) [MIM:172700]: A rare form of dementia pathologically defined by severe atrophy, neuronal loss and gliosis. It is characterized by the occurrence of tau-positive inclusions, swollen neurons (Pick cells) and argentophilic neuronal inclusions known as Pick bodies that disproportionally affect the frontal and temporal cortical regions. Clinical features include aphasia, apraxia, confusion, anomia, memory loss and personality deterioration. {ECO:0000269|PubMed:15122701}. Note=The gene represented in this entry may be involved in disease pathogenesis.	Homo sapiens (Human)
